crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AGG ASSAULT,103040472,10312010,2315 DONALD LEE HOLLOWELL BLVD NW ,109,Center Hill,J,33.77725,-84.46072
LARCENY-FROM VEHICLE,103040475,10312010,3475 LENOX RD NE,210,Lenox,B,33.84922,-84.36056
BURGLARY-RESIDENCE,103041320,10312010,556 CAIRO ST NW,106,Bankhead,K,33.76982,-84.41967
AUTO THEFT,103041333,10312010,564 GRESHAM AVE SE,612,East Atlanta,W,33.73892,-84.34559
LARCENY-NON VEHICLE,103041887,10312010,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947
AGG ASSAULT,103041966,10312010,1655 ROGERS AVE SW,404,Westview,T,33.73751,-84.44186
LARCENY-FROM VEHICLE,103031368,10302010,151 14TH ST NW,501,Home Park,E,33.7873,-84.39241
LARCENY-FROM VEHICLE,103031385,10302010,BAKER ST NE / PEACHTREE ST NW,508,Downtown,M,33.76226,-84.38755
AUTO THEFT,103030293,10302010,247 TAFT ST SW,307,Joyland,Y,33.71062,-84.39709
AGG ASSAULT,103030304,10302010,1086 PIEDMONT,503,Midtown,E,33.78451,-84.37889
LARCENY-FROM VEHICLE,103022797,10302010,107 E WESLEY RD NE,206,Peachtree Heights East,B,33.82832,-84.38396
ROBBERY-PEDESTRIAN,103022830,10292010,PERRY BLVD NW / MCCALLIE BLVD NW,110,West Highlands,G,33.79949,-84.45474
LARCENY-FROM VEHICLE,103021017,10292010,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80121,-84.40791
LARCENY-FROM VEHICLE,103021027,10292010,727 WYLIE ST SE,606,Cabbagetown,N,33.75204,-84.36355
BURGLARY-RESIDENCE,103021527,10292010,425 CHAPPELL RD NW,106,Bankhead,K,33.76722,-84.43255
LARCENY-FROM VEHICLE,103021542,10292010,381 VENABLE ST NW,504,Downtown,M,33.76519,-84.39502
AUTO THEFT,103022264,10292010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
AUTO THEFT,103022318,10292010,TIGER FLOWERS DR NW / WHITAKER CIR NW,108,West Lake,J,33.75977,-84.44524
AUTO THEFT,103011170,10282010,3724 MARTIN L KING JR DR SW,407,Adamsville,H,33.76464,-84.5103
BURGLARY-RESIDENCE,103011191,10282010,1733 MELROSE DR. SW,306,Sylvan Hills,X,33.70747,-84.42086
AGG ASSAULT,103012067,10282010,808 MCDANIEL ST SW,302,Pittsburgh,V,33.73295,-84.40148
BURGLARY-RESIDENCE,103012074,10282010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73365,-84.40221
LARCENY-FROM VEHICLE,103012757,10282010,1110 IRA ST SW,302,Pittsburgh,V,33.72468,-84.39991
LARCENY-FROM VEHICLE,103010017,10282010,931 MONROE DR ,506,Midtown,E,33.77973,-84.3676
AGG ASSAULT,103001321,10272010,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
LARCENY-NON VEHICLE,103001370,10272010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
AGG ASSAULT,103002160,10272010,2524 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75285,-84.47033
BURGLARY-RESIDENCE,103002188,10272010,1035 REUNION PL SW,412,Midwest Cascade,Q,33.7254,-84.52882
LARCENY-FROM VEHICLE,103000494,10272010,1108 MONTREAT AVE.,402,Oakland City,S,33.72936,-84.424
ROBBERY-PEDESTRIAN,103000495,10272010,1133 MCDANIEL ST SW,302,Pittsburgh,V,33.72398,-84.40185
LARCENY-NON VEHICLE,103000982,10272010,4035 SOUTHWOOD CIR SW,412,Ben Hill Terrace,P,33.69583,-84.51989
BURGLARY-RESIDENCE,103001018,10272010,2528 RYNE ST NW,109,Center Hill,J,33.7675,-84.46976
LARCENY-FROM VEHICLE,102990682,10262010,3652 TAMPA TRL SW,414,Tampa Park,P,33.67861,-84.50786
LARCENY-FROM VEHICLE,102990696,10262010,1031 AUSTIN AVE NE,602,Inman Park,N,33.76227,-84.35396
AUTO THEFT,102991393,10262010,555 MCDANIEL ST SW,303,Mechanicsville,V,33.73814,-84.40163
BURGLARY-RESIDENCE,102991398,10262010,1675 WILLIS MILL RD SW,409,Southwest,R,33.71028,-84.47058
