crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AGG ASSAULT,103041184,10312010,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403
LARCENY-FROM VEHICLE,103041703,10312010,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
LARCENY-FROM VEHICLE,103031141,10302010,1351 ORMEWOOD AVE SE,612,East Atlanta,W,33.73384,-84.34341
ROBBERY-PEDESTRIAN,103032013,10302010,864 HALL ST NW,109,Center Hill,J,33.77859,-84.46616
AUTO THEFT,103030855,10302010,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678
BURGLARY-RESIDENCE,103020746,10292010,351 FAIRBURN RD NW,111,Adamsville,H,33.76479,-84.50023
BURGLARY-RESIDENCE,103021347,10292010,340 BROMACK DR SE,310,Lakewood,Z,33.68812,-84.37775
LARCENY-NON VEHICLE,103021988,10292010,1991 DELOWE DR SW,410,Campbellton Road,R,33.70002,-84.45895
LARCENY-NON VEHICLE,103010964,10282010,824 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77282,-84.41423
LARCENY-FROM VEHICLE,103011711,10282010,JOHN WESLEY DOBBS AVE NE / COURTLAND ST NE,510,Downtown,M,33.75712,-84.38424
AUTO THEFT,103012481,10282010,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
LARCENY-NON VEHICLE,103010796,10282010,2001 SYLVAN RD,306,Sylvan Hills,X,33.69981,-84.4184
LARCENY-NON VEHICLE,103001740,10272010,80 JESSE HILL JR DR SE ,510,Downtown,M,33.75168,-84.38198
BURGLARY-NONRES,103000084,10272010,1575 JOSEPH E BOONE BLVD NW,107,Grove Park,J,33.76391,-84.43929
BURGLARY-RESIDENCE,103000788,10272010,913 ORMEWOOD TER SE,607,Ormewood Park,W,33.72943,-84.35855
LARCENY-FROM VEHICLE,102990401,10262010,BROAD ST NW / WALTON ST NW,508,Downtown,M,33.75544,-84.38979
BURGLARY-RESIDENCE,102991110,10262010,89 FORT ST NE,604,Sweet Auburn,M,33.75688,-84.37782
BURGLARY-RESIDENCE,102991780,10262010,2557 PRESTON VIEW CT SW,310,Browns Mill Park,Z,33.6869,-84.39238
LARCENY-FROM VEHICLE,102992434,10262010,1270 W PEACHTREE ST NW,502,Midtown,E,33.78937,-84.3882
AGG ASSAULT,102981931,10252010,2 PARK PL SE,510,Downtown,M,33.75445,-84.38954
AUTO THEFT,102980718,10252010,1908 PEACHTREE PARK DR NE,207,,E,33.81357,-84.38952
LARCENY-NON VEHICLE,102981194,10252010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
ROBBERY-PEDESTRIAN,102970178,10242010,162 FLAT SHOALS AVE SE,606,Reynoldstown,N,33.74947,-84.35429
LARCENY-FROM VEHICLE,102971645,10242010,FORSYTH ST SW / ALABAMA ST SW,511,Downtown,M,33.75387,-84.39261
AUTO THEFT,102970676,10242010,2995 HUMPHRIES DR SE,312,Orchard Knob,Z,33.67344,-84.37761
BURGLARY-RESIDENCE,102961096,10232010,1685 WESTWOOD AVE SW,404,Westview,T,33.73869,-84.44291
LARCENY-NON VEHICLE,102961486,10232010,950 W PEACHTREE ST NW,503,Midtown,E,33.7805,-84.38752
LARCENY-FROM VEHICLE,102960346,10232010,17TH ST NW / MARKET ST NW,501,Atlantic Station,E,33.79119,-84.39501
LARCENY-NON VEHICLE,102962314,10232010,184 WALKER ST SW,507,Castleberry Hill,M,33.74956,-84.40117
LARCENY-FROM VEHICLE,102950559,10222010,391 17TH ST NW,501,Atlantic Station,E,33.79109,-84.40088
AGG ASSAULT,102951234,10222010,1917 PRYOR RD SW;,307,Lakewood Heights,Y,33.70213,-84.39915
AUTO THEFT,102951826,10222010,1008 JOSEPH E LOWERY BLVD NW / W MARIETTA ST NW,103,English Avenue,L,33.78272,-84.41722
LARCENY-FROM VEHICLE,102940281,10212010,928 IMAGE AVE NW,501,Home Park,E,33.78072,-84.40995
LARCENY-NON VEHICLE,102941086,10212010,1523 FAIRBURN RD SW,412,Old Fairburn Village,P,33.71244,-84.5067
BURGLARY-RESIDENCE,102941805,10212010,2916 5TH ST SW,311,Hammond Park,X,33.67532,-84.40132
LARCENY-FROM VEHICLE,102932722,10212010,1000 NORTHSIDE DR NW,501,Home Park,E,33.78194,-84.40758
BURGLARY-RESIDENCE,102932057,10202010,994 DEKALB AVE NE,602,Inman Park,N,33.75594,-84.35517
LARCENY-FROM VEHICLE,102930619,10202010,1101 JUNIPER ST. NE.,503,Midtown,E,33.78465,-84.3821
LARCENY-FROM VEHICLE,102931358,10202010,594 ALEX DR SW,407,Wilson Mill Meadows,H,33.75184,-84.51973
LARCENY-FROM VEHICLE,102920458,10192010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
LARCENY-NON VEHICLE,102921517,10192010,196 LOWRY ST NE,609,Edgewood,O,33.75886,-84.34028
LARCENY-FROM VEHICLE,102922355,10192010,1181 GARIBALDI ST SW,302,Pittsburgh,V,33.72243,-84.39937
LARCENY-FROM VEHICLE,102912216,10182010,360 PHARR RD NE,206,Buckhead Village,B,33.83752,-84.37574
BURGLARY-RESIDENCE,102911144,10182010,731 PEARCE ST SW,301,Adair Park,V,33.72964,-84.4116
AGG ASSAULT,102910370,10182010,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
LARCENY-FROM VEHICLE,102910992,10182010,2325 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81866,-84.34906
LARCENY-FROM VEHICLE,102900340,10172010,W PEACHTREE ST NE / 13TH ST NE,503,Midtown,E,33.78572,-84.38782
LARCENY-NON VEHICLE,102901093,10172010,FAIRBURN RD SW / LANDINGS SOUTH DR SW,414,Ben Hill,P,33.66436,-84.52128
LARCENY-NON VEHICLE,102891373,10162010,231 18TH ST NW,501,Atlantic Station,E,33.79249,-84.3954
LARCENY-FROM VEHICLE,102890018,10162010,1016 HOWELL MILL RD NW,501,Home Park,E,33.78257,-84.41167
BURGLARY-NONRES,102890921,10162010,601 PRYOR ST SW,303,Mechanicsville,V,33.73829,-84.39484
LARCENY-FROM VEHICLE,102881950,10152010,49 BOULEVARD SE,604,Sweet Auburn,M,33.75253,-84.3721
BURGLARY-RESIDENCE,102880405,10152010,305 HOLDERNESS ST SW,104,West End,T,33.74675,-84.42725
BURGLARY-RESIDENCE,102881244,10152010,984 SIMS ST SW,302,Pittsburgh,V,33.72798,-84.40295
LARCENY-FROM VEHICLE,102870452,10142010,711 ELBERT ST SW,301,Adair Park,V,33.72859,-84.41094
BURGLARY-RESIDENCE,102871184,10142010,1742 LISBON DR SW,306,Sylvan Hills,X,33.70719,-84.41183
AUTO THEFT,102871628,10142010,235 HOPKINS ST SW,104,Mozley Park,K,33.74881,-84.43125
LARCENY-NON VEHICLE,102872570,10142010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
AGG ASSAULT,102861994,10132010,2043 REYNOLDS DR SW,307,Lakewood Heights,Y,33.69866,-84.40182
BURGLARY-NONRES,102860057,10132010,1289 EASON ST NW,105,Hunter Hills,K,33.75939,-84.43152
LARCENY-NON VEHICLE,102861152,10132010,2018 BOLTON RD NW,203,Whittier Mill Village,D,33.81116,-84.47703
ROBBERY-RESIDENCE,102851412,10122010,445 MARKHAM ST SW,507,Castleberry Hill,M,33.75274,-84.40069
BURGLARY-RESIDENCE,102852098,10122010,335 GREEN CUP CT SW,412,Midwest Cascade,Q,33.72801,-84.53846
LARCENY-FROM VEHICLE,102850462,10122010,373 PARK AVE SE,605,Grant Park,W,33.74437,-84.37003
LARCENY-FROM VEHICLE,102851020,10122010,46 WALL ST SE,511,Downtown,M,33.75312,-84.38876
AUTO THEFT,102840410,10112010,2127 BRIAR GLEN LN SW,412,Briar Glen,P,33.6955,-84.50171
AUTO THEFT,102841070,10112010,845 OAK ST SW,401,West End,T,33.74074,-84.41578
LARCENY-FROM VEHICLE,102841507,10112010,1900 EMERY ST NW,205,Wildwood (NPU-C),C,33.80744,-84.415
BURGLARY-RESIDENCE,102842235,10112010,4489 RIO GRANDE RD SW,413,Arlington Estates,P,33.69214,-84.53457
LARCENY-NON VEHICLE,102831306,10102010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
ROBBERY-PEDESTRIAN,102830224,10102010,180 WALKER ST SW,507,Castleberry Hill,M,33.74964,-84.40132
LARCENY-FROM VEHICLE,102820469,10092010,331 LAKEMOORE DR NE,209,North Buckhead,B,33.86572,-84.37695
AUTO THEFT,102821198,10092010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
LARCENY-NON VEHICLE,102822188,10092010,215 FORSYTH ST SW,512,Downtown,M,33.74892,-84.3968
LARCENY-FROM VEHICLE,102811796,10082010,1986 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77604,-84.44952
BURGLARY-RESIDENCE,102811143,10082010,2011 LEWIS RD SE,308,Norwood Manor,Z,33.69894,-84.36189
AUTO THEFT,102800487,10072010,3018 MIDDLETON RD NW,111,,I,33.75296,-84.48893
LARCENY-FROM VEHICLE,102801139,10072010,1003 WASHINGTON ST SW,304,Peoplestown,V,33.72734,-84.39109
AUTO THEFT,102801975,10072010,675 METROPOLITAN PKWY SW,301,Adair Park,V,33.73653,-84.41018
BURGLARY-RESIDENCE,102790551,10062010,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059
LARCENY-NON VEHICLE,102791235,10062010,82 PEACHTREE ST SW,511,Downtown,M,33.75186,-84.39133
LARCENY-FROM VEHICLE,102792172,10062010,2875 NORTHSIDE DR NW,205,Wyngate,C,33.83247,-84.40639
BURGLARY-NONRES,102780559,10052010,105 COLLIER RD NW,207,,E,33.80821,-84.39686
BURGLARY-RESIDENCE,102781182,10052010,1572 HARDEE ST NE;,609,Edgewood,O,33.75546,-84.33644
BURGLARY-RESIDENCE,102781991,10052010,2149 BRIAR GLEN LN SW,412,Briar Glen,P,33.69612,-84.5037
LARCENY-NON VEHICLE,102770838,10042010,227 10TH ST NE,503,Midtown,E,33.78169,-84.37991
LARCENY-NON VEHICLE,102771521,10042010,28 WHITEFOORD AVE SE,609,Edgewood,O,33.75268,-84.34189
LARCENY-FROM VEHICLE,102770384,10042010,1659 NEKOMA ST NW,107,Grove Park,J,33.7669,-84.4419
BURGLARY-NONRES,102760422,10032010,1711 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70717,-84.3802
AUTO THEFT,102761210,10032010,1132 VIRGINIA AVE NE,601,Virginia Highland,F,33.782,-84.3503
LARCENY-FROM VEHICLE,102741802,10022010,2165 CHESHIRE BRIDGE RD NE,213,Lindridge/Martin Manor,F,33.81341,-84.35347
AUTO THEFT,102750114,10022010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
LARCENY-NON VEHICLE,102750751,10022010,20 MARIETTA ST NW,511,Downtown,M,33.75468,-84.39042
LARCENY-NON VEHICLE,102741946,10012010,22 JESSE HILL JR DR NE,510,Downtown,M,33.75503,-84.38036
BURGLARY-NONRES,102740199,10012010,350 PEACHTREE HILLS AVE NE,211,Peachtree Hills,B,33.81837,-84.37521
LARCENY-FROM VEHICLE,102741464,10012010,155 FULTON ST SE,304,Summerhill,V,33.74182,-84.38266
AUTO THEFT,113040592,10312011,1497 HOWELL MILL RD NW,207,Berkeley Park,D,33.79565,-84.41471
LARCENY-FROM VEHICLE,113041223,10312011,1193 COLLIER RD NW,204,,C,33.81172,-84.4245
BURGLARY-RESIDENCE,113041691,10312011,1620 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79988,-84.47023
