crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
BURGLARY-NONRES,103041162,10312010,640 NORTH AVE NE,603,Old Fourth Ward,M,33.77121,-84.36562
AGG ASSAULT,103041672,10312010,240 OAK DR SE ,312,Glenrose Heights,Z,33.6685,-84.38684
LARCENY-FROM VEHICLE,103032630,10302010,61 NORTH AVE NW @VARSITY DRIVE INN,505,Midtown,E,33.77138,-84.38943
LARCENY-FROM VEHICLE,103031962,10302010,1919 METROPOLITAN PKY,306,Sylvan Hills,X,33.70339,-84.40806
ROBBERY-PEDESTRIAN,103030842,10302010,605 BOULEVARD NE,603,Old Fourth Ward,M,33.77097,-84.3714
LARCENY-FROM VEHICLE,103020724,10292010,875 COURTENAY DR NE,213,Morningside/Lenox Park,F,33.78972,-84.35843
LARCENY-FROM VEHICLE,103021335,10292010,DONALD LEE HOLLOWELL PKWY NW / JAMES JACKSON PKWY NW,113,Center Hill,J,33.77632,-84.47375
AUTO THEFT,103021918,10292010,JONESBORO RD SE / I-285 EB EXPY SE,313,South River Gardens,Z,33.65199,-84.36701
LARCENY-FROM VEHICLE,103010944,10282010,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76234,-84.35933
LARCENY-NON VEHICLE,103011626,10282010,2001 MARTIN L KING JR DR NW,108,,I,33.75011,-84.45285
AUTO THEFT,103012411,10282010,580 CLEVELAND AVE SW AT METROPOLITAN,311,Perkerson,X,33.68128,-84.4077
LARCENY-FROM VEHICLE,103010681,10282010,111 CONE ST NW,508,Downtown,M,33.75798,-84.38969
LARCENY-FROM VEHICLE,103001697,10272010,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198
AGG ASSAULT,103000051,10272010,SAINT JAMES AVE NW / 1ST ST NW,109,Carey Park,G,33.78592,-84.46697
AUTO THEFT,103000719,10272010,2141 SPRINGDALE RD SW,309,Perkerson,X,33.69603,-84.41411
BURGLARY-RESIDENCE,102990323,10262010,1700 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.77328,-84.44342
LARCENY-NON VEHICLE,102991077,10262010,GARNETT ST SW / PRYOR ST SW,512,Downtown,M,33.74809,-84.39358
LARCENY-NON VEHICLE,102991771,10262010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
AUTO THEFT,102992380,10262010,472 DECKNER AVE SW,301,Capitol View Manor,X,33.71456,-84.40318
AUTO THEFT,102981915,10252010,1705 ABNER CT NW,110,Carver Hills,G,33.80223,-84.46617
BURGLARY-RESIDENCE,102980682,10252010,187 WHITEFOORD AVE SE,609,Edgewood,O,33.74823,-84.3425
BURGLARY-RESIDENCE,102981187,10252010,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968
LARCENY-NON VEHICLE,102970101,10242010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
LARCENY-FROM VEHICLE,102971560,10242010,180 HARRIETT ST SE,305,South Atlanta,Y,33.71601,-84.38265
AUTO THEFT,102970619,10242010,1047 GUN CLUB RD NW,110,Grove Park,J,33.78391,-84.45674
LARCENY-FROM VEHICLE,102961026,10232010,1424 W PACES FERRY RD NW,201,Paces,A,33.84628,-84.4343
LARCENY-FROM VEHICLE,102961462,10232010,1017 WESTVIEW DR SW,104,Ashview Heights,T,33.7482,-84.42039
BURGLARY-RESIDENCE,102960284,10232010,779 PASLEY AVE SE,612,East Atlanta,W,33.73321,-84.3383
AGG ASSAULT,102962284,10232010,727 CASCADE AVE SW,404,Westview,T,33.73553,-84.43681
BURGLARY-RESIDENCE,102950477,10222010,892 CAPITOL VIEW AVE NW,109,Center Hill,J,33.77931,-84.46748
BURGLARY-RESIDENCE,102951188,10222010,1743 CAHOON ST SW,306,Sylvan Hills,X,33.70874,-84.41206
LARCENY-FROM VEHICLE,102951775,10222010,500 10TH ST NE,502,,E,33.78186,-84.373
BURGLARY-RESIDENCE,102940268,10212010,745 FOUNTAINHEAD LN NE,211,Lindbergh/Morosgo,B,33.81912,-84.36408
BURGLARY-RESIDENCE,102941078,10212010,1286 GRANT ST SE,305,Chosewood Park,Y,33.71961,-84.37646
LARCENY-NON VEHICLE,102941770,10212010,878 PEACHTREE ST NE,505,Midtown,E,33.7788,-84.38438
LARCENY-NON VEHICLE,102942539,10212010,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77067,-84.38023
LARCENY-FROM VEHICLE,102932041,10202010,548 PONCE DE LEON AVE NE,506,Midtown,E,33.77403,-84.3689
LARCENY-FROM VEHICLE,102930601,10202010,41 WALTON ST. SW AND BROAD ST. SW,508,Downtown,M,33.75544,-84.38979
BURGLARY-RESIDENCE,102931354,10202010,170 BOULEVARD,604,Sweet Auburn,M,33.75879,-84.3722
AGG ASSAULT,102920427,10192010,440 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70606,-84.35892
LARCENY-NON VEHICLE,102921418,10192010,1631 LA FRANCE ST NE,609,Edgewood,O,33.76136,-84.33264
LARCENY-NON VEHICLE,102922333,10192010,1441 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71401,-84.34962
BURGLARY-RESIDENCE,102912203,10182010,493 BOULEVARD NE,603,Old Fourth Ward,M,33.76797,-84.37178
BURGLARY-RESIDENCE,102911127,10182010,999 SMITH ST SW,302,Pittsburgh,V,33.72756,-84.40098
LARCENY-NON VEHICLE,102910334,10182010,232 FORSYTH ST SW,512,Downtown,M,33.7485,-84.39664
BURGLARY-RESIDENCE,102910929,10182010,451 W ONTARIO AVE SW,404,Westview,T,33.74292,-84.44002
LARCENY-FROM VEHICLE,102900291,10172010,AUBURN AVE NE / HILLIARD ST NE,604,Sweet Auburn,M,33.75551,-84.3766
AUTO THEFT,102901015,10172010,689 BOULEVARD NE,603,Old Fourth Ward,M,33.77351,-84.37049
LARCENY-NON VEHICLE,102891350,10162010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
AGG ASSAULT,102892191,10162010,939 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68861,-84.35888
LARCENY-FROM VEHICLE,102890833,10162010,103 LUCKIE ST NW,508,Downtown,M,33.75777,-84.38898
BURGLARY-RESIDENCE,102881893,10152010,2950 SPRINGDALE RD SW,311,Hammond Park,X,33.67443,-84.41557
LARCENY-FROM VEHICLE,102880354,10152010,PIEDMONT AVE NE / 6TH ST NE,505,Midtown,E,33.77715,-84.38133
LARCENY-FROM VEHICLE,102881219,10152010,400 17TH ST NW,501,Atlantic Station,E,33.78959,-84.40165
AUTO THEFT,102870409,10142010,69 TURMAN AVE SE,305,South Atlanta,Y,33.70875,-84.38393
AUTO THEFT,102871155,10142010,1020 GLENWOOD AVE SE,606,Ormewood Park,W,33.74015,-84.35413
AUTO THEFT,102871600,10142010,1400 W PACES FERRY RD NW,201,Paces,A,33.84823,-84.43195
ROBBERY-RESIDENCE,102872491,10142010,1112 MCKENNA PL SE,612,East Atlanta,W,33.72763,-84.32868
LARCENY-NON VEHICLE,102861964,10132010,1387 DESOTO AVE SW,301,Capitol View,X,33.71703,-84.4121
AGG ASSAULT,102860047,10132010,532 CLEVELAND AVE SE,311,Hammond Park,X,33.68116,-84.4059
BURGLARY-RESIDENCE,102861110,10132010,592 COOPER ST SW,303,Mechanicsville,V,33.7388,-84.39691
AUTO THEFT,102851330,10122010,49  BOULEVARD ,604,Sweet Auburn,M,33.75377,-84.37317
LARCENY-FROM VEHICLE,102852086,10122010,1920 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80733,-84.41318
LARCENY-FROM VEHICLE,102850444,10122010,806 MAGNOLIA WAY NW,102,Vine City,L,33.75805,-84.41408
LARCENY-FROM VEHICLE,102851017,10122010,75 MARTIN LUTHER KING JR DR,511,Downtown,M,33.75258,-84.38992
AUTO THEFT,102840392,10112010,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81806,-84.35082
LARCENY-NON VEHICLE,102841059,10112010,230 CLEVELAND AVE SW,311,Glenrose Heights,Z,33.68012,-84.39573
LARCENY-FROM VEHICLE,102841494,10112010,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043
LARCENY-NON VEHICLE,102842226,10112010,647 COOPER ST SW,303,Mechanicsville,V,33.73745,-84.39715
