crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103040169,10312010,1344 METROPOLITAN PKWY SW,301,Capitol View Manor,X,33.71803,-84.40774
BURGLARY-NONRES,103041236,10312010,2777 BURTON RD NW,111,Westhaven,I,33.75615,-84.47873
LARCENY-NON VEHICLE,103041741,10312010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
BURGLARY-NONRES,103031165,10302010,1935 KIMBERLY RD SW,412,Ben Hill Terrace,P,33.70142,-84.52277
LARCENY-NON VEHICLE,103032085,10302010,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895
AUTO THEFT,103030917,10302010,41 25TH ST NW,207,Brookwood,E,33.80108,-84.39488
LARCENY-FROM VEHICLE,103020843,10292010,1376 HEIGHTS PARK DR SE,607,Custer/McDonough/Guice,W,33.7161,-84.35086
LARCENY-FROM VEHICLE,103021376,10292010,1530 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.79686,-84.42789
BURGLARY-RESIDENCE,103022071,10292010,225 WOODWARD AVE SE,605,Grant Park,W,33.74542,-84.38026
BURGLARY-NONRES,103011004,10282010,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017
LARCENY-FROM VEHICLE,103011775,10282010,COCA COLA PL SE / BELL ST SE,510,Downtown,M,33.75279,-84.37984
LARCENY-FROM VEHICLE,103012543,10282010,60 ANDREW YOUNG INTERNA BLVD NE,509,Downtown,M,33.75991,-84.38522
LARCENY-FROM VEHICLE,103010854,10282010,402 TARRAGON WAY SW,407,Wilson Mill Meadows,H,33.75158,-84.51648
LARCENY-NON VEHICLE,103001871,10272010,607 PEACHTREE ST NE,509,Downtown,M,33.77096,-84.3844
ROBBERY-PEDESTRIAN,103000135,10272010,1187 WESTVIEW DR SW,104,Ashview Heights,T,33.7475,-84.42651
LARCENY-FROM VEHICLE,103000834,10272010,655 GREEN ST,207,Berkeley Park,D,33.79299,-84.40941
LARCENY-FROM VEHICLE,102990473,10262010,943 PEACHTREE ST NE,503,Midtown,E,33.7806,-84.3832
BURGLARY-NONRES,102991192,10262010,2588 ETHRIDGE DR,113,Carey Park,G,33.78701,-84.4722
LARCENY-FROM VEHICLE,102991816,10262010,21 ELLIS ST NE,510,Downtown,M,33.75833,-84.38681
AUTO THEFT,102992467,10262010,132 10TH ST NE,503,Midtown,E,33.78222,-84.3829
LARCENY-FROM VEHICLE,102981946,10252010,701 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76124,-84.36391
AUTO THEFT,102980753,10252010,49 BOULEVARD SE,604,Sweet Auburn,M,33.75275,-84.37186
BURGLARY-RESIDENCE,102981216,10252010,892 SPENCER,102,Vine City,L,33.75961,-84.41673
LARCENY-NON VEHICLE,102970263,10242010,3112 PIEDMONT RD NE,206,Buckhead Village,B,33.84088,-84.37057
AGG ASSAULT,102971710,10242010,407 SUNSET AVE NW,103,English Avenue,L,33.76556,-84.40985
LARCENY-NON VEHICLE,102970702,10242010,3815 MARTIN L KING JR DR NW,114,Old Gordon,H,33.76918,-84.51471
LARCENY-FROM VEHICLE,102961131,10232010,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79745,-84.369
LARCENY-FROM VEHICLE,102961536,10232010,1919 METROPOLITAN PKWY SW ;METRO MARKET USA PLAZA,306,Sylvan Hills,X,33.70278,-84.41017
AGG ASSAULT,102960421,10232010,188 14TH ST NE,502,Midtown,E,33.78663,-84.38139
AUTO THEFT,102962531,10232010,1192 HUFF RD NW,203,Blandtown,D,33.78868,-84.42704
LARCENY-FROM VEHICLE,102950595,10222010,230 PEACHTREE ST NW,508,Downtown,M,33.76015,-84.38807
LARCENY-FROM VEHICLE,102951268,10222010,MCLENDON AVE NE / ELMIRA PL NE,608,Candler Park,N,33.76493,-84.34689
LARCENY-FROM VEHICLE,102951929,10222010,4449 NORTHSIDE DR NW,202,Chastain Park,A,33.87773,-84.41038
ROBBERY-COMMERCIAL,102940318,10212010,1943 PEACHTREE RD NE,207,Brookwood Hills,E,33.80799,-84.39355
LARCENY-FROM VEHICLE,102941107,10212010,925 CANTERBURY RD NE,210,Pine Hills,B,33.82753,-84.35471
BURGLARY-RESIDENCE,102941867,10212010,38 WHITEFOORD AVE SE,609,Edgewood,O,33.75242,-84.34189
AGG ASSAULT,102931388,10212010,2520 JONESBORO RD SE,308,Leila Valley,Z,33.68463,-84.36481
LARCENY-NON VEHICLE,102932110,10202010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
