crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-NON VEHICLE,103040385,10312010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
LARCENY-NON VEHICLE,103041286,10312010,302 DEERING RD NW,207,Loring Heights,E,33.79592,-84.399
AUTO THEFT,103041794,10312010,2715 PEACHTREE RD NE,206,Garden Hills,B,33.82924,-84.38579
LARCENY-NON VEHICLE,103031276,10302010,3070 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78388,-84.48854
LARCENY-FROM VEHICLE,103032340,10302010,BROAD ST NW / MARIETTA ST NW,508,Downtown,M,33.75492,-84.39054
LARCENY-FROM VEHICLE,103031052,10302010,376 ROY ST SW,302,Pittsburgh,V,33.72404,-84.40041
AUTO THEFT,103020926,10292010,2423 MARTIN L KING JR DR NW ; PEEKS @ MLK,108,Florida Heights,I,33.75183,-84.46623
LARCENY-NON VEHICLE,103021457,10292010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-NON VEHICLE,103022176,10292010,149 26TH ST NW,207,Brookwood,E,33.80253,-84.39776
LARCENY-NON VEHICLE,103011084,10282010,190 MARIETTA ST NW,507,Downtown,M,33.75757,-84.39487
LARCENY-FROM VEHICLE,103011904,10282010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
LARCENY-FROM VEHICLE,103012647,10282010,W PEACHTREE ST NE / SIMPSON ST NW,508,Downtown,M,33.76331,-84.38754
BURGLARY-NONRES,103001249,10272010,506 MCWILLIAMS RD SE,310,Lakewood,Z,33.6894,-84.3722
BURGLARY-RESIDENCE,103002087,10272010,979 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68834,-84.35784
BURGLARY-RESIDENCE,103000312,10272010,405 FAIRBURN RD SW,407,Wildwood (NPU-H),H,33.74347,-84.5145
AUTO THEFT,103000935,10272010,1572 HARDEE ST NE,609,Edgewood,O,33.75546,-84.33644
LARCENY-FROM VEHICLE,102990560,10262010,970 GRANT COVE PL SE,605,Grant Park,W,33.72781,-84.37721
AGG ASSAULT,102991320,10262010,500 NORTHSIDE CIRCLE,207,Loring Heights,E,33.79724,-84.40668
BURGLARY-RESIDENCE,102991884,10262010,272 HOWELL TER SW,407,Adamsville,H,33.75086,-84.50432
AGG ASSAULT,102992602,10262010,PIEDMONT AVE NE / 12TH ST NE,502,Midtown,E,33.78331,-84.37958
BURGLARY-NONRES,102981981,10252010,1562 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.7437,-84.43859
LARCENY-NON VEHICLE,102980812,10252010,659 PEACHTREE ST NE,505,Midtown,E,33.77244,-84.38478
AGG ASSAULT,102981304,10252010,1614 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79919,-84.47004
LARCENY-FROM VEHICLE,102971229,10242010,PEACHTREE ST SW / MITCHELL ST SW,512,Downtown,M,33.75094,-84.39303
