crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103041181,10312010,2011 VENETIAN DR SW,409,Adams Park,R,33.71509,-84.4543
LARCENY-NON VEHICLE,103041700,10312010,50 ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964
LARCENY-FROM VEHICLE,103031107,10302010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76527,-84.40498
LARCENY-FROM VEHICLE,103032002,10302010,2525 PIEDMONT RD,211,Lindbergh/Morosgo,B,33.824,-84.36521
AUTO THEFT,103030847,10302010,1591 JONESBORO RD SE,305,South Atlanta,Y,33.70911,-84.38139
LARCENY-FROM VEHICLE,103020741,10292010,817 W PEACHTREE ST NE,505,Midtown,E,33.77696,-84.38697
BURGLARY-RESIDENCE,103021341,10292010,2233 MACON DR SW,310,Browns Mill Park,Z,33.69367,-84.39132
LARCENY-FROM VEHICLE,103021969,10292010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
BURGLARY-RESIDENCE,103010953,10282010,166 SUWANEE AVENUE NW ,108,Dixie Hills,J,33.75884,-84.46533
LARCENY-NON VEHICLE,103011682,10282010,730 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77446,-84.36424
BURGLARY-RESIDENCE,103012468,10282010,3390 FAIRBURN RD SW,414,Ben Hill,P,33.66311,-84.52345
AUTO THEFT,103010714,10282010,1079 MARIETTA BLVD NW,106,Knight Park/Howell Station,K,33.7839,-84.4285
BURGLARY-RESIDENCE,103001710,10272010,528 WINTON TER NE  ,603,Old Fourth Ward,M,33.76861,-84.36994
AGG ASSAULT,103000078,10272010,1673 MARTIN L KING JR DR NW,104,Mozley Park,K,33.75179,-84.44189
AUTO THEFT,103000748,10272010,2283 CORONET WAY NW,201,,C,33.81786,-84.44681
LARCENY-FROM VEHICLE,102990340,10262010,WILLIAMS ST NW / W PEACHTREE PL NW,508,Downtown,M,33.76403,-84.39036
LARCENY-FROM VEHICLE,102991109,10262010,112 BEVERLY RD NE,502,Ansley Park,E,33.79704,-84.38374
BURGLARY-RESIDENCE,102991775,10262010,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631
