crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103040504,10312010,800 SIDNEY MARCUS BLVD NE,211,Lindbergh/Morosgo,B,33.82674,-84.36131
LARCENY-NON VEHICLE,103041390,10312010,424 FLAT SHOALS AVE SE,612,East Atlanta,W,33.74249,-84.34745
AGG ASSAULT,103041975,10312010,608 MCDANIEL STREET,303,Mechanicsville,V,33.73849,-84.40166
ROBBERY-PEDESTRIAN,103031508,10302010,765 SPRINGLAKE LN NW,205,Springlake,C,33.81108,-84.41356
LARCENY-FROM VEHICLE,103030336,10302010,1870 CAMPBELLTON RD SW,408,,R,33.70661,-84.44808
LARCENY-NON VEHICLE,103028019,10292010,5952 SPINE ROAD,50,,,33.64068,-84.44204
AGG ASSAULT,103021033,10292010,1925 NISKEY LAKE RD SW @BUNCHE MIDDLE,412,,P,33.70106,-84.53062
LARCENY-NON VEHICLE,103021545,10292010,55 MCDONOUGH BLVD SE,305,South Atlanta,Y,33.72024,-84.38654
LARCENY-FROM VEHICLE,103022343,10292010,3021 HOGAN RD SW,411,Greenbriar,R,33.67815,-84.48703
ROBBERY-PEDESTRIAN,103011225,10282010,942 HANK AARON DR,304,Peoplestown,V,33.72843,-84.38748
LARCENY-FROM VEHICLE,103012084,10282010,3550 CAMPBELLTON RD SW,413,,P,33.68984,-84.50491
LARCENY-FROM VEHICLE,103010052,10282010,245 N HIGHLAND AVE NE,602,Inman Park,N,33.76194,-84.35948
BURGLARY-RESIDENCE,103001378,10272010,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059
AUTO THEFT,103002227,10272010,3911 CAMPBELLTON RD SW,412,Kings Forest,P,33.69289,-84.51602
ROBBERY-PEDESTRIAN,103000500,10272010,1668 EASTLAND RD SE,612,East Atlanta,W,33.71898,-84.33038
AUTO THEFT,103001042,10272010,207 HARWELL PL NW,112,Collier Heights,I,33.78154,-84.49301
LARCENY-FROM VEHICLE,102990713,10262010,737 WOODLAND AVE SE,607,Ormewood Park,W,33.73428,-84.35164
LARCENY-NON VEHICLE,102991403,10262010,84 WALTON ST,508,Downtown,M,33.75672,-84.39123
LARCENY-NON VEHICLE,102991986,10262010,1133 EUCLID AVE NE,602,Inman Park,N,33.76451,-84.35
ROBBERY-PEDESTRIAN,102982093,10252010,1034 LAWTON AVE SW,402,Oakland City,S,33.72574,-84.42182
BURGLARY-RESIDENCE,102962205,10252010,145 JAMES P BRAWLEY BLVD,102,Vine City,L,33.75867,-84.41236
LARCENY-NON VEHICLE,102980909,10252010,120 HAMDEN FOREST TRL SW,412,Midwest Cascade,Q,33.72287,-84.53964
AGG ASSAULT,102981441,10252010,3116 BENJAMIN E MAYS DR SW,406,Green Forest Acres,I,33.73303,-84.48973
BURGLARY-RESIDENCE,102971313,10242010,1010 ANGELO CT NE,209,Brookhaven,B,33.88121,-84.35427
LARCENY-FROM VEHICLE,102971925,10242010,3242 PEACHTREE RD NE,208,Buckhead Forest,B,33.84286,-84.37291
AGG ASSAULT,102970866,10242010,71 PEACHTREE ST NE ,510,Downtown,M,33.7552,-84.38858
LARCENY-NON VEHICLE,102961270,10232010,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.7734,-84.35467
AUTO THEFT,102961869,10232010,1241 DONNELLY AVENUE,401,West End,T,33.73581,-84.42047
AGG ASSAULT,102960795,10232010,2188 W CEDAR LN SW,409,Adams Park,R,33.71073,-84.4601
LARCENY-NON VEHICLE,102952705,10222010,265 PONCE DE LEON AVE NE,505,Midtown,E,33.77206,-84.37869
BURGLARY-NONRES,102950910,10222010,202 ANDERSON AVE NW,108,Dixie Hills,J,33.76025,-84.45071
AGG ASSAULT,102951432,10222010,1783 JOHNSON RD NW,110,Rockdale,G,33.78541,-84.44539
AUTO THEFT,102952165,10222010,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554
LARCENY-NON VEHICLE,102940677,10212010,285 PEACHTREE CENTER AVE NE,509,Downtown,M,33.76198,-84.38558
LARCENY-FROM VEHICLE,102941340,10212010,HILLIARD ST NE / EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75437,-84.3766
ROBBERY-COMMERCIAL,102942162,10212010,825 MARTIN L KING JR DR NW,102,Vine City,L,33.75488,-84.41378
LARCENY-NON VEHICLE,102931531,10202010,JESSE HILL JR DR SE / ARMSTRONG ST SE,510,Downtown,M,33.75274,-84.38202
AGG ASSAULT,102932369,10202010,729 GARIBALDI ST SW,303,Mechanicsville,V,33.73498,-84.39924
AUTO THEFT,102930994,10202010,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786
LARCENY-FROM VEHICLE,102932550,10202010,207 PEACHTREE CENTER AVE,509,Downtown,M,33.7602,-84.38554
LARCENY-NON VEHICLE,102920947,10192010,1040 GUN CLUB RD NW,110,Almond Park,G,33.78338,-84.45725
LARCENY-NON VEHICLE,102921742,10192010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79293,-84.3975
AGG ASSAULT,102912309,10182010,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863
BURGLARY-RESIDENCE,102911733,10182010,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968
AGG ASSAULT,102911312,10182010,3000 STONE HOGAN CONN SW,411,Greenbriar,R,33.67424,-84.49697
BURGLARY-NONRES,102910712,10182010,2921 PIEDMONT RD NE,211,Peachtree Park,B,33.83469,-84.3679
ROBBERY-PEDESTRIAN,102901693,10172010,515 JOSEPH AVE SE,612,East Atlanta,W,33.73922,-84.34699
LARCENY-FROM VEHICLE,102900665,10172010,70 ALLEN TEMPLE CT NW,111,,I,33.75308,-84.4906
BURGLARY-NONRES,102901436,10172010,580 CONWAY FOREST DR NW,202,Chastain Park,A,33.87596,-84.40602
AGG ASSAULT,102891748,10162010,466 JOSEPH E LOWERY BLVD NW,106,Bankhead,K,33.76746,-84.41767
AGG ASSAULT,102890469,10162010,477 PEACHTREE ST NE,509,Downtown,M,33.76764,-84.38524
AGG ASSAULT,102892220,10162010,1073 MCDANIEL ST SW,302,Pittsburgh,V,33.72557,-84.40188
BURGLARY-RESIDENCE,102882313,10152010,294 NORWOOD AVE NE,610,Kirkwood,O,33.76136,-84.32093
LARCENY-FROM VEHICLE,102880738,10152010,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75942,-84.37151
AGG ASSAULT,102862333,10142010,1105 FOUNTAIN DR SW,104,Ashview Heights,T,33.75179,-84.42382
AUTO THEFT,102870700,10142010,795 POLLARD BLVD SW,304,Summerhill,V,33.73328,-84.391
LARCENY-NON VEHICLE,102871381,10142010,54 PEACHTREE ST SW,511,Downtown,M,33.75286,-84.3912
AUTO THEFT,102872015,10142010,1720 MLK JR DR,104,Mozley Park,K,33.75095,-84.44404
LARCENY-FROM VEHICLE,102861485,10132010,3656 TUXEDO RD NW,202,Tuxedo Park,A,33.85517,-84.39899
LARCENY-NON VEHICLE,102862144,10132010,415 ARMOUR DR NE,212,,F,33.81267,-84.37412
AUTO THEFT,102860633,10132010,2157 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81401,-84.35061
BURGLARY-RESIDENCE,102851097,10122010,1708 RICHMOND AVE SE,307,Lakewood Heights,Y,33.70808,-84.37768
LARCENY-FROM VEHICLE,102851702,10122010,MEMORIAL DR SE / 2ND AVE SE,611,East Lake,O,33.74728,-84.30976
LARCENY-FROM VEHICLE,102850102,10122010,534 LEE ST SW,401,West End,T,33.74024,-84.41396
LARCENY-FROM VEHICLE,102850765,10122010,478 ASHBURTON AVE SE,611,East Lake,O,33.73945,-84.29311
AUTO THEFT,102840057,10112010,WESTWOOD AVE SW / CASCADE AVE SW,402,Westview,T,33.73805,-84.43532
LARCENY-FROM VEHICLE,102840705,10112010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
LARCENY-NON VEHICLE,102841256,10112010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-FROM VEHICLE,102841948,10112010,WOODWARD AVE SE / WOOD ST SE,605,Grant Park,W,33.74553,-84.37254
LARCENY-FROM VEHICLE,102831976,10102010,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38992
LARCENY-FROM VEHICLE,102830815,10102010,275 LAKEMOORE DR NE,209,North Buckhead,B,33.86514,-84.37875
LARCENY-NON VEHICLE,102830585,10102010,1766 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70581,-84.38009
LARCENY-FROM VEHICLE,102820750,10092010,3443 KINGSBORO RD NE,210,Buckhead Heights,B,33.8496,-84.35792
LARCENY-NON VEHICLE,102821491,10092010,2615 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7762,-84.47236
LARCENY-FROM VEHICLE,102811316,10082010,1183 MCDANIEL ST SW,302,Pittsburgh,V,33.72261,-84.40185
LARCENY-NON VEHICLE,102812236,10082010,3332 PEACHTREE RD NE,208,North Buckhead,B,33.84618,-84.36845
LARCENY-FROM VEHICLE,102810656,10082010,303 PARKWAY DR NE,604,Old Fourth Ward,M,33.76286,-84.37405
BURGLARY-RESIDENCE,102800681,10072010,3609 ROLLING GREEN RDG SW,412,Heritage Valley,P,33.70775,-84.50621
LARCENY-NON VEHICLE,102801421,10072010,181 PEACHTREE ST NE ;RITZ CARLTON,510,Downtown,M,33.75861,-84.3872
LARCENY-NON VEHICLE,102802429,10072010,387 HILL ST SE,605,Grant Park,W,33.74436,-84.37974
LARCENY-FROM VEHICLE,102790935,10062010,750 PIEDMONT AVE NE,505,Midtown,E,33.77504,-84.38187
LARCENY-NON VEHICLE,102791701,10062010,230 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68075,-84.38217
ROBBERY-PEDESTRIAN,102780103,10052010,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425
BURGLARY-RESIDENCE,102780792,10052010,278 FLORIDA AVE SW,405,Florida Heights,I,33.74796,-84.46296
BURGLARY-RESIDENCE,102781577,10052010,920 FAIRBURN RD NW,114,Carroll Heights,H,33.77955,-84.50231
LARCENY-FROM VEHICLE,102782248,10052010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
AUTO THEFT,102771092,10042010,ORLANDO ST/CASCADE RD,403,Cascade Avenue/Road,S,33.72804,-84.44303
LARCENY-FROM VEHICLE,102771883,10042010,765 HANK AARON DR SW,304,Summerhill,V,33.73426,-84.38801
AUTO THEFT,102770806,10042010,1454 NORTHSIDE DR NW,207,Berkeley Park,D,33.79421,-84.40848
LARCENY-NON VEHICLE,102760808,10032010,352 KING ST SE,605,Capitol Gateway,V,33.74555,-84.38495
AUTO THEFT,102761519,10032010,1182 CHATHAM AVE SW,403,Cascade Avenue/Road,S,33.72305,-84.44291
BURGLARY-RESIDENCE,102751857,10022010,1222 BRONX ST NW,105,Hunter Hills,K,33.75744,-84.42766
ROBBERY-PEDESTRIAN,102750315,10022010,PIEDMONT RD NE / ROCKLEDGE RD NE,212,Morningside/Lenox Park,F,33.80968,-84.3652
RAPE,102750999,10022010,568 JOSEPH E. BOONE ,102,Vine City,L,33.76284,-84.41736
BURGLARY-RESIDENCE,102742461,10012010,853 HALL ST NW,109,Center Hill,J,33.77829,-84.46578
LARCENY-NON VEHICLE,102740969,10012010,22 JESSIE HILL JR DR,508,Downtown,M,33.75774,-84.38844
LARCENY-NON VEHICLE,102741716,10012010,2640 CAMPBELLTON RD SW;,410,Campbellton Road,R,33.70252,-84.47475
LARCENY-NON VEHICLE,113040874,10312011,1821 W ANDERSON AVE NW,108,Dixie Hills,J,33.75533,-84.44742
AUTO THEFT,113041411,10312011,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
LARCENY-FROM VEHICLE,113041930,10312011,3466 ROCKHAVEN CIR NE,210,Pine Hills,B,33.84573,-84.35291
BURGLARY-RESIDENCE,113030582,10302011,4268 WIEUCA OVERLOOK NE,209,North Buckhead,B,33.87207,-84.37486
LARCENY-FROM VEHICLE,113030301,10302011,300 SPRING ST NW,508,Downtown,M,33.76273,-84.38912
