crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,111620974,06112011,771 LINDBERGH DR NE,211,Lindbergh/Morosgo,B,33.82055,-84.36241
AUTO THEFT,111621075,06112011,955 FOUNDERS DR SW,104,Harris Chiles,T,33.74455,-84.41985
AGG ASSAULT,111610392,06102011,3181 DONALD LEE HOLLOWELL PKWY NW @PETRO TRUCK STOP,113,Brookview Heights,G,33.78619,-84.49113
BURGLARY-RESIDENCE,111610463,06102011,124 PARK AVE SE,305,South Atlanta,Y,33.71171,-84.38701
LARCENY-NON VEHICLE,111611356,06102011,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
LARCENY-NON VEHICLE,111611361,06102011,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
LARCENY-NON VEHICLE,111612134,06102011,2588 CASCADE RD SW,409,Cascade Heights,I,33.71962,-84.4727
BURGLARY-RESIDENCE,111612135,06102011,140 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67287,-84.38483
BURGLARY-NONRES,111600551,06092011,2095 CAMPBELLTON RD.,409,Adams Park,R,33.70687,-84.45716
LARCENY-NON VEHICLE,111600555,06092011,548 NORTHSIDE DR NW,103,English Avenue,L,33.7697,-84.40508
LARCENY-FROM VEHICLE,111602536,06092011,1016 HOWELL MILL RD NW,501,Home Park,E,33.78226,-84.41198
BURGLARY-RESIDENCE,111602540,06092011,925 W PACES FERRY RD NW,202,Kingswood,A,33.85084,-84.41708
AGG ASSAULT,111601779,06092011,57 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.75316,-84.41783
AGG ASSAULT,111601790,06092011,1000 JEFFERSON ST NW,106,Knight Park/Howell Station,K,33.77569,-84.42475
LARCENY-NON VEHICLE,111591366,06082011,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,111591381,06082011,865 HILL ST SE,304,Peoplestown,V,33.73084,-84.37875
ROBBERY-PEDESTRIAN,111592374,06082011,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.72678,-84.4018
AUTO THEFT,111592416,06082011,286 WILSON MILL RD. SW,407,Wisteria Gardens,H,33.7547,-84.51365
AUTO THEFT,111590838,06082011,3096 EMPIRE BLVD SW,312,Glenrose Heights,Z,33.67016,-84.39297
LARCENY-FROM VEHICLE,111590841,06082011,215 NORTH AVE NE ,603,Old Fourth Ward,M,33.7706,-84.38034
LARCENY-FROM VEHICLE,111580659,06072011,1620 HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79988,-84.47023
AUTO THEFT,111580724,06072011,2900 PHARR COURT SOUTH,206,Peachtree Heights West,B,33.83463,-84.38685
AUTO THEFT,111581470,06072011,1212 JAMES JACKSON PKWY NW,113,Monroe Heights,G,33.79047,-84.47597
AUTO THEFT,111581497,06072011,1021 MARGARET PL NW,110,Grove Park,J,33.78206,-84.44981
ROBBERY-PEDESTRIAN,111582424,06072011,15 W LAKE AVE NW,105,West Lake,J,33.75513,-84.44374
ROBBERY-PEDESTRIAN,111582473,06072011,700 NEAL ST NW,103,English Avenue,L,33.76628,-84.41048
AUTO THEFT,111570038,06062011,1268 AVON AVE SW,403,Oakland City,S,33.72207,-84.42943
ROBBERY-PEDESTRIAN,111570041,06062011,1159 LOGAN CIR NW,204,Underwood Hills,D,33.80641,-84.43082
AUTO THEFT,111571529,06062011,1366 ALLENE AVE SW,301,Capitol View,X,33.71759,-84.41259
LARCENY-FROM VEHICLE,111571564,06062011,482 SEMINOLE AVE NE,602,Inman Park,N,33.76719,-84.35071
AGG ASSAULT,111572308,06062011,2857 GRAND AVE SW;,311,Hammond Park,X,33.67729,-84.40202
AUTO THEFT,111572312,06062011,790 WOODROW ST SW,301,Oakland City,S,33.72277,-84.41384
RAPE,111560689,06052011,725 QUEEN ST SW,402,West End,T,33.73515,-84.42558
AUTO THEFT,111560786,06052011,1778 CAHOON ST SW,306,Sylvan Hills,X,33.7072,-84.41093
LARCENY-FROM VEHICLE,111561359,06052011,3340 PEACHTREE RD. NE,208,North Buckhead,B,33.84743,-84.37089
BURGLARY-RESIDENCE,111561372,06052011,2203 JERNIGAN DR SE,310,Lakewood,Z,33.69403,-84.37274
LARCENY-NON VEHICLE,111550057,06042011,3223 CAINS HILL PL NW,206,South Tuxedo Park,B,33.84251,-84.38044
ROBBERY-PEDESTRIAN,111550123,06042011,501 CONNELL AVE SW,309,Perkerson,X,33.68327,-84.40662
AUTO THEFT,111551191,06042011,275 PINE ST NW,504,Downtown,M,33.76789,-84.39634
LARCENY-NON VEHICLE,111551213,06042011,544 WINTON TER NE,603,Old Fourth Ward,M,33.76867,-84.36944
LARCENY-NON VEHICLE,111552008,06042011,1899 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70231,-84.40817
LARCENY-NON VEHICLE,111552099,06042011,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
LARCENY-NON VEHICLE,111541142,06032011,215 NORTH AVE NE ,603,Old Fourth Ward,M,33.7706,-84.38034
LARCENY-FROM VEHICLE,111541152,06032011,1150 CRESCENT AVENUE,503,Midtown,E,33.78601,-84.38437
AUTO THEFT,111541996,06032011,55 MAPLE ST NW,102,Vine City,L,33.75569,-84.40528
LARCENY-NON VEHICLE,111542000,06032011,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
LARCENY-FROM VEHICLE,111542735,06032011,354 MARTIN ST SE,605,Capitol Gateway,V,33.74509,-84.38374
BURGLARY-RESIDENCE,111542783,06032011,157 MOURY AVE SW,305,The Villages at Carver,Y,33.71283,-84.3885
AUTO THEFT,111531866,06022011,3833 PRINCETON LAKES CT SW,414,Princeton Lakes,P,33.65738,-84.51309
LARCENY-NON VEHICLE,111531884,06022011,191 PEACHTREE ST NE 14TH FLOOR,510,Downtown,M,33.75879,-84.3864
LARCENY-NON VEHICLE,111531291,06022011,842 RIDGE AVE NW,109,Center Hill,J,33.77764,-84.46824
BURGLARY-NONRES,111531301,06022011,3490 HAMILTON BLVD SE,312,Glenrose Heights,Z,33.66117,-84.38829
BURGLARY-RESIDENCE,111531018,06022011,195 FAIRBURN RD NW,111,Adamsville,H,33.76126,-84.50433
HOMICIDE,111522681029,06022011,2370 METROPOLITAN PKWY SW,309,Perkerson,X,33.69014,-84.40807
LARCENY-FROM VEHICLE,111521089,06012011,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80121,-84.40791
BURGLARY-RESIDENCE,111521172,06012011,750 LIBERTY COMMONS DR NW,102,Vine City,L,33.75579,-84.41542
LARCENY-NON VEHICLE,111521849,06012011,234 MEMORIAL DR SW,512,Downtown,M,33.7465,-84.39536
BURGLARY-RESIDENCE,111521854,06012011,215 CHILDS DR NW,105,Hunter Hills,K,33.76095,-84.43627
LARCENY-FROM VEHICLE,121820046,06302012,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
BURGLARY-RESIDENCE,121820109,06302012,4685 GUILFORD FOREST DR SW,412,Midwest Cascade,Q,33.72525,-84.54356
BURGLARY-RESIDENCE,121821335,06302012,3276 RENAULT RD SE,312,Orchard Knob,Z,33.66572,-84.37795
LARCENY-NON VEHICLE,121821349,06302012,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075
LARCENY-FROM VEHICLE,121822123,06302012,441 16TH ST NW @IKEA,501,Atlantic Station,E,33.78874,-84.40468
AGG ASSAULT,121822195,06302012,4201 BLANTON AVE SW,413,Fairburn,P,33.69125,-84.52358
LARCENY-NON VEHICLE,121811043,06292012,3084 IMPERIAL CIR SW,409,Southwest,R,33.69859,-84.49507
LARCENY-NON VEHICLE,121811071,06292012,3276 RENAULT RD SE,312,Orchard Knob,Z,33.66572,-84.37795
LARCENY-NON VEHICLE,121811533,06292012,1155 LAVISTA RD,212,Lindridge/Martin Manor,F,33.81743,-84.351
LARCENY-FROM VEHICLE,121811545,06292012,158 BOWEN CIR SW,305,High Point,Y,33.71733,-84.39741
LARCENY-NON VEHICLE,121812533,06292012,35 NORTHSIDE DR NW,507,Downtown,M,33.75557,-84.40269
LARCENY-FROM VEHICLE,121812540,06292012,537 PARK AVE SE,605,Grant Park,W,33.74031,-84.37167
AUTO THEFT,121800839,06282012,1745 EMERALD AVE SW,404,Westview,T,33.74232,-84.44488
AUTO THEFT,121800878,06282012,445 CLEVELAND AVE SW,309,Rosedale Heights,Z,33.68149,-84.37152
BURGLARY-RESIDENCE,121802016,06282012,701 KENNOLIA DR SW,404,Westwood Terrace,I,33.73611,-84.44924
LARCENY-FROM VEHICLE,121802047,06282012,2795 PEACHTREE RD NE,206,Garden Hills,B,33.83109,-84.38534
LARCENY-FROM VEHICLE,121802913,06282012, 351 MORELAND AVE NE,608,Candler Park,N,33.76496,-84.34915
LARCENY-FROM VEHICLE,121802984,06282012,50 OLD IVY RD NE;,209,North Buckhead,B,33.85469,-84.38105
AUTO THEFT,121792311,06272012,375 BOULEVARD NE,603,Old Fourth Ward,M,33.76462,-84.37183
BURGLARY-RESIDENCE,121792535,06272012,1421 LORENZO DR SW,403,Venetian Hills,S,33.71618,-84.43302
LARCENY-NON VEHICLE,121791260,06272012,313 STOVALL ST SE,606,Reynoldstown,N,33.74581,-84.35463
LARCENY-FROM VEHICLE,121791275,06272012,488 FLAT SHOALS AVE S.E.,612,East Atlanta,W,33.74098,-84.34589
LARCENY-NON VEHICLE,121782043,06262012,1485 KAY LN NE,213,Morningside/Lenox Park,F,33.80057,-84.33874
LARCENY-FROM VEHICLE,121782047,06262012,3730 CARMIA DR SW,414,Princeton Lakes,P,33.65676,-84.50867
AGG ASSAULT,121780144,06262012,856 BECKWITH ST SW,101,Atlanta University Center,T,33.75208,-84.41577
AGG ASSAULT,121780167,06262012,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-FROM VEHICLE,121781220,06262012,826 MARIETTA ST NW,504,Marietta Street Artery,E,33.77477,-84.4067
LARCENY-NON VEHICLE,121781301,06262012,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
LARCENY-FROM VEHICLE,121770057,06252012,3346 MARTIN L KING JR DR SW,407,Adamsville,H,33.75409,-84.49771
LARCENY-NON VEHICLE,121770059,06252012,1801 DELOWE DR SW,410,Campbellton Road,R,33.70583,-84.45771
AUTO THEFT,121770906,06252012,1487 SYLVAN RD SW,306,Sylvan Hills,X,33.71428,-84.41844
LARCENY-NON VEHICLE,121770940,06252012,2423 MARTIN LUTHER KING JR DR,108,Florida Heights,I,33.75183,-84.46623
BURGLARY-RESIDENCE,121771459,06252012,2123 BOLTON DR NW,204,Bolton,D,33.81562,-84.44077
BURGLARY-RESIDENCE,121771462,06252012,848 BEECHER ST SW,401,West End,T,33.73309,-84.41558
AUTO THEFT,121772238,06252012,2161 MORELAND AVE SE,308,Norwood Manor,Z,33.69498,-84.35195
BURGLARY-RESIDENCE,121772260,06252012,1345 DONNELLY AVE SW,402,West End,T,33.73601,-84.4316
AUTO THEFT,121761387,06242012,183 MOUNT ZION RD SE;,312,Glenrose Heights,Z,33.67268,-84.38507
LARCENY-FROM VEHICLE,121761393,06242012,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328
LARCENY-FROM VEHICLE,121762436,06242012,479 CAMERON ST SE,605,Grant Park,W,33.74137,-84.36544
BURGLARY-RESIDENCE,121762438,06242012,1069 METROPOLITAN PKWY SW,301,Adair Park,V,33.72548,-84.40801
AUTO THEFT,121761097,06242012,186 RACINE ST SW,104,Mozley Park,K,33.75014,-84.44107
BURGLARY-RESIDENCE,121761099,06242012,969 STONEWALL DR SE,308,Leila Valley,Z,33.69031,-84.35763
LARCENY-NON VEHICLE,121750724,06232012,674 WOODWARD AVE SE,606,Grant Park,W,33.74561,-84.36535
BURGLARY-NONRES,121750746,06232012,3424 PIEDMONT RD NE,208,Buckhead Forest,B,33.84815,-84.37419
BURGLARY-NONRES,121751301,06232012,44 BROAD ST NW,508,Downtown,M,33.75534,-84.3901
LARCENY-FROM VEHICLE,121751322,06232012,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568
AUTO THEFT,121752166,06232012,385 WOODWARD WAY NW,205,Peachtree Battle Alliance,C,33.81751,-84.40104
LARCENY-FROM VEHICLE,121752276,06232012,1285 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76368,-84.42962
LARCENY-FROM VEHICLE,121741006,06222012,1901 MACARTHUR BLVD NW,203,Bolton,D,33.81336,-84.44972
LARCENY-NON VEHICLE,121741009,06222012,3201 MARTIN L KING JR DR NW,111,,I,33.75428,-84.49165
LARCENY-NON VEHICLE,121741686,06222012,1192 HUFF RD NW,203,Blandtown,D,33.78868,-84.42704
ROBBERY-PEDESTRIAN,121741690,06222012,1575 MARTIN L KING JR DR NW ,104,Mozley Park,K,33.7529,-84.43904
ROBBERY-PEDESTRIAN,121742514,06222012,1903 DREW DR NW,110,West Highlands,G,33.79214,-84.44947
LARCENY-FROM VEHICLE,121742523,06222012,3101 PIEDMONT RD NE,211,Peachtree Park,B,33.84075,-84.36979
LARCENY-NON VEHICLE,121730450,06212012,364 HILL ST SE,605,Grant Park,W,33.74475,-84.37895
AUTO THEFT,121730451,06212012,3033 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.6827,-84.49488
