crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-NON VEHICLE,103040301,10312010,JOHN WESLEY DOBBS AVE NE / CORLEY ST NE,604,Old Fourth Ward,M,33.75947,-84.36626
AUTO THEFT,103041255,10312010,3334 PEACHTREE RD NE ,208,North Buckhead,B,33.84911,-84.37075
LARCENY-NON VEHICLE,103041750,10312010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-NON VEHICLE,103031183,10302010,560 DUTCH VALLEY RD NE,213,Morningside/Lenox Park,F,33.79216,-84.36886
LARCENY-FROM VEHICLE,103032227,10302010,3833 PRINCETON LAKES PKWY,414,Princeton Lakes,P,33.65488,-84.51022
LARCENY-FROM VEHICLE,103030941,10302010,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
AUTO THEFT,103020846,10292010,1092 SHELBY PL SE,607,Woodland Hills,W,33.72371,-84.35181
LARCENY-NON VEHICLE,103021419,10292010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68845,-84.49328
AUTO THEFT,103022078,10292010,101 HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75558,-84.46807
LARCENY-NON VEHICLE,103011051,10282010,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68013,-84.37757
LARCENY-FROM VEHICLE,103011819,10282010,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77682,-84.40822
BURGLARY-RESIDENCE,103012583,10282010,292 THORNTON ST SW,307,Joyland,Y,33.71161,-84.39851
LARCENY-NON VEHICLE,103001207,10272010,2621 DONALD LEE HOLLOWELL PKWY NW ; PIC N PAY,109,Center Hill,J,33.77617,-84.47272
LARCENY-NON VEHICLE,103002046,10272010,116 PONCE DE LEON AVE NE,505,Midtown,E,33.77248,-84.38382
AGG ASSAULT,103000272,10272010,1029 MCDANIEL ST SW,302,Pittsburgh,V,33.72678,-84.4018
LARCENY-FROM VEHICLE,103000884,10272010,953 WOODLAND AVE SE,607,Ormewood Park,W,33.72844,-84.35246
LARCENY-NON VEHICLE,102990475,10262010,54 PEACHTREE ST SW,511,Downtown,M,33.75286,-84.3912
LARCENY-NON VEHICLE,102991271,10262010,55 MCDONOUGH BLVD SE,305,South Atlanta,Y,33.72024,-84.38654
