crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,103040061,10312010,850 OAK ST SW,401,West End,T,33.74057,-84.4168
LARCENY-FROM VEHICLE,103041231,10312010,701 KENNOLIA DR SW,404,Westwood Terrace,I,33.73611,-84.44924
AUTO THEFT,103041722,10312010,260 HOLLY RD NW,106,Knight Park/Howell Station,K,33.78633,-84.42786
LARCENY-FROM VEHICLE,103031163,10302010,122 MLK JR DR SW,512,Downtown,M,33.75177,-84.39182
BURGLARY-RESIDENCE,103032084,10302010,3481 MEADOWRIDGE DR SW,414,Brentwood,P,33.67361,-84.50241
LARCENY-FROM VEHICLE,103030916,10302010,HARRIS ST NE / COURTLAND ST NE,509,Downtown,M,33.76094,-84.38418
LARCENY-FROM VEHICLE,103020832,10292010,705 BROOKLINE ST SW,301,Adair Park,V,33.72736,-84.41074
BURGLARY-RESIDENCE,103021375,10292010,1926 HARBIN RD SW,409,Southwest,R,33.70327,-84.47989
LARCENY-NON VEHICLE,103022058,10292010,2859 PIEDMONT,211,Peachtree Park,B,33.83294,-84.3677
LARCENY-NON VEHICLE,103010985,10282010,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
BURGLARY-RESIDENCE,103011742,10282010,73 JOSEPH E LOWERY BLVD,104,Ashview Heights,T,33.75271,-84.41779
LARCENY-FROM VEHICLE,103012493,10282010,86 5TH ST NE,505,Midtown,E,33.77622,-84.38428
LARCENY-NON VEHICLE,103010818,10282010,50 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67286,-84.38706
BURGLARY-RESIDENCE,103001827,10272010,2110 SOUTHWOOD LN SW;,412,Ben Hill Terrace,P,33.69643,-84.51885
AGG ASSAULT,103000131,10272010,2315 CAMPBELLTON RD SW,409,Adams Park,R,33.70466,-84.46315
BURGLARY-NONRES,103000822,10272010,1562 RALPH D ABERNATHY BLVD SW,404,Westview,T,33.7437,-84.43859
AUTO THEFT,102990455,10262010,915 ROSEDALE RD NE,601,Virginia Highland,F,33.77917,-84.34827
LARCENY-NON VEHICLE,102991169,10262010,1130 MORELAND AVE SE,607,East Atlanta,W,33.7235,-84.34893
AUTO THEFT,102991804,10262010,3099 PANTHER TRL SW @THERRELL HIGH,409,Southwest,R,33.69931,-84.48914
LARCENY-FROM VEHICLE,102992450,10262010,JOSEPH E LOWERY BLVD NW / JOSEPH E BOONE BLVD NW,105,Washington Park,K,33.76347,-84.41747
LARCENY-FROM VEHICLE,102981941,10252010,PEACHTREE ST NE / 6TH ST NE,505,Midtown,E,33.77736,-84.38442
LARCENY-NON VEHICLE,102980739,10252010,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
BURGLARY-RESIDENCE,102981208,10252010,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149
