crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103040412,10312010,229 PEACHTREE ST NE,509,Downtown,M,33.7604,-84.38746
LARCENY-FROM VEHICLE,103041311,10312010,659 LARKIN ST SW,101,Atlanta University Center,T,33.74826,-84.40905
LARCENY-FROM VEHICLE,103041860,10312010,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75961,-84.37127
LARCENY-NON VEHICLE,103031357,10302010,1241 MORELAND AVE SE,607,Woodland Hills,W,33.72055,-84.35045
LARCENY-FROM VEHICLE,103030182,10302010,MARIETTA ST NW / BANKHEAD AVE NW,504,Marietta Street Artery,E,33.77363,-84.40468
LARCENY-NON VEHICLE,103031082,10302010,264 19TH ST NW,501,Atlantic Station,E,33.79321,-84.39692
BURGLARY-RESIDENCE,103020945,10292010,1677 CARROLL DR NW,203,Hills Park,D,33.80266,-84.44275
BURGLARY-RESIDENCE,103021503,10292010,27 KIRKWOOD RD NE,610,Kirkwood,O,33.75218,-84.32144
LARCENY-NON VEHICLE,103022218,10292010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
LARCENY-FROM VEHICLE,103011162,10282010,794 DIXIE AVE NE,602,Inman Park,N,33.75677,-84.3617
LARCENY-NON VEHICLE,103011953,10282010,70 W PACES FERRY RD NW,206,Peachtree Heights West,B,33.84047,-84.38267
LARCENY-NON VEHICLE,103001206,10282010,800 HUTCHENS RD. SE,313,South River Gardens,Z,33.67102,-84.36187
AGG ASSAULT,103001271,10272010,945 HARWELL ST NW,105,Washington Park,K,33.75576,-84.41853
LARCENY-FROM VEHICLE,103002095,10272010,180 JACKSON ST NE ,604,Sweet Auburn,M,33.75929,-84.37628
AGG ASSAULT,103000430,10272010,1135 OAKLAND LN SW,403,Oakland City,S,33.71965,-84.42493
BURGLARY-RESIDENCE,103000950,10272010,1324 LIBERTY PKWY NW,204,Bolton,D,33.81785,-84.4406
BURGLARY-RESIDENCE,102990617,10262010,43 WYMAN ST NE,609,Kirkwood,O,33.75468,-84.33284
LARCENY-NON VEHICLE,102991350,10262010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-NON VEHICLE,102991910,10262010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
LARCENY-NON VEHICLE,102981760,10262010,3755 CARMIA DRIVE,414,Princeton Lakes,P,33.65629,-84.51134
AGG ASSAULT,102982021,10252010,2555 ETHERIDGE DR NW,113,Carey Park,G,33.78815,-84.47173
AUTO THEFT,102980831,10252010,371 IRWIN ST NE;,604,Sweet Auburn,M,33.75747,-84.37539
BURGLARY-NONRES,102981357,10252010,1708 PEACHTREE ST NW,207,Brookwood,E,33.8004,-84.39323
AGG ASSAULT,102971246,10242010,669 ELBRIDGE DR NW,106,,J,33.77309,-84.43208
LARCENY-FROM VEHICLE,102971861,10242010,E PACES FERRY RD NE / OAK VALLEY RD NE,210,Buckhead Heights,B,33.84629,-84.35714
LARCENY-FROM VEHICLE,102970827,10242010,125 10TH ST NE,503,Midtown,E,33.78152,-84.38307
BURGLARY-RESIDENCE,102961248,10232010,71 PARK AVE SE,305,South Atlanta,Y,33.71211,-84.38516
LARCENY-NON VEHICLE,102961780,10232010,MARIETTA ST NW / BROAD ST NW,511,Downtown,M,33.7532,-84.39201
AUTO THEFT,102960681,10232010,666 CATHERINE ST SW,301,Adair Park,V,33.72569,-84.40938
AGG ASSAULT,102952646,10222010,1580 LAKEWOOD AVE SE,305,Lakewood Heights,Y,33.71135,-84.3799
LARCENY-FROM VEHICLE,102950819,10222010,50 MILDRED PL NW,109,Almond Park,G,33.78089,-84.45664
