crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103041119,10312010,3RD ST NE / PEACHTREE ST NE,505,Midtown,E,33.77368,-84.38477
BURGLARY-RESIDENCE,103041607,10312010,941 MORELAND DR SE,607,Custer/McDonough/Guice,W,33.7088,-84.35813
HOMICIDE,103040581078,10312010,1025 OAK ST SW,401,West End,T,33.74094,-84.42141
LARCENY-FROM VEHICLE,103031804,10302010,36 HARRIS ST,509,Downtown,M,33.76097,-84.38604
AGG ASSAULT,103030772,10302010,1220 GUN CLUB RD NW,110,Almond Park,G,33.78752,-84.45789
AUTO THEFT,103020551,10292010,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341
BURGLARY-RESIDENCE,103021281,10292010,503 COLLIER RIDGE DR ,112,Collier Heights,I,33.76887,-84.4763
ROBBERY-PEDESTRIAN,103021861,10292010,BROAD ST SW / MARTIN L KING JR DR SW,512,Downtown,M,33.75243,-84.3928
BURGLARY-RESIDENCE,103010902,10282010,432 IRA ST SW,303,Mechanicsville,V,33.74277,-84.39973
LARCENY-NON VEHICLE,103011564,10282010,285 POLAR ROCK RD SW,310,Polar Rock,Z,33.6968,-84.39851
LARCENY-FROM VEHICLE,103012325,10282010,HOWELL MILL RD NW / 11TH ST NW,501,Home Park,E,33.78287,-84.41164
AUTO THEFT,103010624,10282010,3850 WIEUCA RD NE,209,North Buckhead,B,33.8599,-84.36365
BURGLARY-NONRES,103001582,10272010,1435 DONALD LEE HOLLOWELL PKWY NW,110,Grove Park,J,33.77179,-84.43521
LARCENY-FROM VEHICLE,103002398,10272010,17 COURTLAND ST NE,510,Downtown,M,33.75495,-84.38417
LARCENY-FROM VEHICLE,103000659,10272010,1057 LAWTON AVE SW,402,Oakland City,S,33.72654,-84.42228
ROBBERY-PEDESTRIAN,102990057,10262010,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
LARCENY-NON VEHICLE,102990967,10262010,386 NORTH AVE NE,603,Old Fourth Ward,M,33.77154,-84.37445
BURGLARY-RESIDENCE,102991688,10262010,2235 1ST AVE NE,610,Kirkwood,O,33.75494,-84.31439
ROBBERY-PEDESTRIAN,102992310,10262010,162 CHAPPELL RD NW,105,Hunter Hills,K,33.75918,-84.43368
