crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
RAPE,103040611,10312010,210 PEACHTREE ST,508,Downtown,M,33.75946,-84.38769
AUTO THEFT,103041397,10312010,1128 ATLANTIC DR NW,501,Home Park,E,33.78548,-84.39813
AUTO THEFT,103041987,10312010,901 BOLTON ROAD NW,114,Bankhead/Bolton,H,33.77948,-84.49901
LARCENY-FROM VEHICLE,103031520,10302010,MONROE DR NE / 10TH ST NE,502,Midtown,E,33.78174,-84.36869
AGG ASSAULT,103030360,10302010,UNIVERSITY AVE SW / I-75-85 SB EXPY SW,302,Pittsburgh,V,33.72201,-84.39509
LARCENY-FROM VEHICLE,103028025,10292010,N DECK @6023 N TERMINAL BYWY ; DAILY/LEVEL1/ROW 21C,50,,,33.64217,-84.447
LARCENY-FROM VEHICLE,103021037,10292010,13TH / CRESENT AVE,503,Midtown,E,33.78562,-84.38422
LARCENY-FROM VEHICLE,103021556,10292010,214 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75741,-84.38075
ROBBERY-PEDESTRIAN,103022389,10292010,50 UPPER ALABAMA,511,Downtown,M,33.75194,-84.38964
LARCENY-FROM VEHICLE,103011256,10282010,739 WYLIE ST SE,606,Cabbagetown,N,33.75205,-84.36309
LARCENY-NON VEHICLE,103012098,10282010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-FROM VEHICLE,103010122,10282010,191 PEACHTREE ST NE,510,Downtown,M,33.75879,-84.3864
LARCENY-FROM VEHICLE,103001385,10272010,105 HOWELL ST NE,604,Old Fourth Ward,M,33.75734,-84.36976
LARCENY-FROM VEHICLE,103002231,10272010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
LARCENY-FROM VEHICLE,103000508,10272010,2300 MACON DR SW;,310,Swallow Circle/Baywood,Z,33.69163,-84.39097
AUTO THEFT,103001048,10272010,1665 WESTLAKE COURT NW ,105,West Lake,J,33.75932,-84.44247
BURGLARY-RESIDENCE,102990725,10262010,1703 STANTON RD SW,408,,R,33.70855,-84.44401
LARCENY-NON VEHICLE,102991404,10262010,1870 CAMPBELLTON RD SW,408,,R,33.70939,-84.44964
LARCENY-NON VEHICLE,102991993,10262010,3500 PEACHTREE ROAD,208,North Buckhead,B,33.85302,-84.36278
LARCENY-FROM VEHICLE,102982110,10252010,2521 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7759,-84.46841
LARCENY-FROM VEHICLE,102972000,10252010,434 COLOGNE DR SE,313,Blair Villa/Poole Creek,Z,33.66133,-84.37781
LARCENY-FROM VEHICLE,102980941,10252010,150 CARNEGIE WAY NW,508,Downtown,M,33.75832,-84.38905
LARCENY-FROM VEHICLE,102981444,10252010,1990 WELLBOURNE DR NE,213,Morningside/Lenox Park,F,33.80884,-84.36023
BURGLARY-RESIDENCE,102971341,10242010,789 CHESTNUT PL,102,Vine City,L,33.76133,-84.41328
LARCENY-NON VEHICLE,102971939,10242010,950 W PEACHTREE ST NW,503,Midtown,E,33.7805,-84.38752
LARCENY-NON VEHICLE,102970878,10242010,2770 NORTHSIDE DR,205,Wyngate,C,33.83041,-84.40809
LARCENY-FROM VEHICLE,102961288,10232010,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292
LARCENY-NON VEHICLE,102961883,10232010,231 18TH ST NW,501,Atlantic Station,E,33.79249,-84.3954
AUTO THEFT,102960799,10232010,965 RAWLINS ST SE,605,Grant Park,W,33.72811,-84.37541
LARCENY-FROM VEHICLE,102952714,10222010,1544 PIEDMONT AVE NE @ANSLEY MALL,213,Piedmont Heights,F,33.79789,-84.37101
BURGLARY-RESIDENCE,102950952,10222010,1001 METROPOLITAN PKWY SW,301,Adair Park,V,33.72757,-84.40826
AGG ASSAULT,102951449,10222010,807 MAGNOLIA ST,102,Vine City,L,33.75823,-84.41408
LARCENY-FROM VEHICLE,102952204,10222010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
BURGLARY-RESIDENCE,102940740,10212010,507 WILSON MILL RD SW,407,Wilson Mill Meadows,H,33.74797,-84.51794
ROBBERY-PEDESTRIAN,102941341,10212010,2848 MANGO CIR NW,113,Monroe Heights,G,33.79564,-84.48314
BURGLARY-RESIDENCE,102942203,10212010,3964 BOULDER PARK DR SW,407,Wildwood (NPU-H),H,33.74686,-84.51747
AGG ASSAULT,102931545,10202010,781 MAGNOLIA WAY NW,102,Vine City,L,33.75822,-84.41374
