crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103040387,10312010,506 MORELAND AVE SE,201,Brandon,C,33.83193,-84.42627
LARCENY-FROM VEHICLE,103041308,10312010,2086 CARVER DR,108,Dixie Hills,J,33.75973,-84.46253
LARCENY-FROM VEHICLE,103041832,10312010,1117 SAINT CHARLES PL NE,601,Atkins Park,F,33.77518,-84.35081
AUTO THEFT,103031315,10302010,2886 MEMORIAL DR SE,611,East Lake,O,33.74741,-84.29245
LARCENY-FROM VEHICLE,103030033,10302010,840 MARIETTA ST NW,504,Marietta Street Artery,E,33.77522,-84.40691
LARCENY-FROM VEHICLE,103031064,10302010,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38992
LARCENY-NON VEHICLE,103020941,10292010,1990 PERKERSON RD SW,306,Sylvan Hills,X,33.70047,-84.4169
LARCENY-FROM VEHICLE,103021478,10292010,973 DELAWARE AVE SE,607,Ormewood Park,W,33.73094,-84.35572
LARCENY-FROM VEHICLE,103022194,10292010,650 HILLPINE DR NE,213,Morningside/Lenox Park,F,33.793,-84.36558
ROBBERY-PEDESTRIAN,103011134,10282010,JOHNSON ROAD NW/ SIMS AVE NW ,110,Grove Park,J,33.78133,-84.45477
LARCENY-FROM VEHICLE,103011922,10282010,15 WALL ST SE,511,Downtown,M,33.75359,-84.38986
BURGLARY-RESIDENCE,103012660,10282010,2172 CASCADE RD SW,409,Adams Park,R,33.72178,-84.45934
BURGLARY-RESIDENCE,103001269,10272010,1001 SMITH ST SW,302,Pittsburgh,V,33.72742,-84.401
LARCENY-FROM VEHICLE,103002094,10272010,889 PARSONS ST SW,101,Atlanta University Center,T,33.75099,-84.41669
AGG ASSAULT,103000373,10272010,367 BELGARDE PL SE,312,Orchard Knob,Z,33.66441,-84.37791
ROBBERY-COMMERCIAL,103000936,10272010,1715 HOWELL MILL RD.,204,Berkeley Park,D,33.80089,-84.4157
LARCENY-FROM VEHICLE,102990608,10262010,3781 SOUTHSIDE INDUSTRIAL CT SE,313,Blair Villa/Poole Creek,Z,33.64941,-84.37792
BURGLARY-RESIDENCE,102991344,10262010,177 MOURY AVE SW,305,The Villages at Carver,Y,33.71348,-84.39052
BURGLARY-RESIDENCE,102991897,10262010,509 LINDBERGH PL NE,211,Lindbergh/Morosgo,B,33.81913,-84.37202
LARCENY-FROM VEHICLE,102998019,10262010,N ECON @6011 N TERMINAL BYWY ;ROW 19A,50,,,33.64216,-84.44756
LARCENY-FROM VEHICLE,102982000,10252010,215 NORTH AVE NE @SAVANNAH MIDTOWN,603,Old Fourth Ward,M,33.7706,-84.38034
BURGLARY-RESIDENCE,102980813,10252010,172 HOWARD ST NE,610,Kirkwood,O,33.75721,-84.32358
BURGLARY-RESIDENCE,102981343,10252010,177 12TH ST,503,Midtown,E,33.78421,-84.38158
LARCENY-NON VEHICLE,102971242,10242010,3050 PEACHTREE RD,206,Peachtree Heights West,B,33.83865,-84.38106
LARCENY-FROM VEHICLE,102971823,10242010,440 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70606,-84.35892
AUTO THEFT,102970824,10242010,1234 DEFOOR VILLAGE CT NW,204,Underwood Hills,D,33.81005,-84.42793
AUTO THEFT,102961241,10232010,630 NEW TOWN CIR SE,308,Thomasville Heights,Z,33.7082,-84.36208
AGG ASSAULT,102961745,10232010,343 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.74569,-84.41786
BURGLARY-RESIDENCE,102960593,10232010,594 WIMBLEDON RD NE,212,Piedmont Heights,F,33.80656,-84.36741
LARCENY-FROM VEHICLE,102952628,10222010,E PACES FERRY RD NE / OAK VALLEY RD NE;,210,Buckhead Heights,B,33.84629,-84.35714
LARCENY-NON VEHICLE,102950802,10222010,838 FLAT SHOALS WAY S.E.,612,East Atlanta,W,33.73153,-84.3309
BURGLARY-NONRES,102951378,10222010,2115 MONROE DR NE,212,Piedmont Heights,F,33.81007,-84.3713
LARCENY-FROM VEHICLE,102952007,10222010,572 EDGEWOOD AVE NE,604,Old Fourth Ward,M,33.75487,-84.36851
BURGLARY-RESIDENCE,102940536,10212010,3578 FAIRBURN PL NW,114,Fairburn Heights,H,33.77157,-84.50475
LARCENY-FROM VEHICLE,102941282,10212010,630 ANGIER AVE NE,603,Old Fourth Ward,M,33.76643,-84.36664
BURGLARY-RESIDENCE,102941984,10212010,1289 AKRIDGE ST NW,105,Hunter Hills,K,33.75841,-84.43011
BURGLARY-RESIDENCE,102931469,10202010,1093 WEST AVE SW,302,Pittsburgh,V,33.72494,-84.39593
LARCENY-FROM VEHICLE,102932309,10202010,818 POLLARD,304,Summerhill,V,33.73249,-84.39017
AGG ASSAULT,102930904,10202010,1864 GREYSTONE RD NW,205,Collier Hills,C,33.80646,-84.40716
BURGLARY-RESIDENCE,102932459,10202010,960 NEWTOWN CIRCLE,308,Thomasville Heights,Z,33.70783,-84.35945
