crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-NON VEHICLE,103040964,10312010,678 HILL ST SE,605,Grant Park,W,33.73611,-84.37812
LARCENY-NON VEHICLE,103041544,10312010,510 PARKWAY DR NE,603,Old Fourth Ward,M,33.76822,-84.3734
LARCENY-NON VEHICLE,103042148,10312010,1565 WELLSWOOD DR SE,607,Custer/McDonough/Guice,W,33.71184,-84.35625
LARCENY-NON VEHICLE,103031631,10302010,ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075
LARCENY-FROM VEHICLE,103030589,10302010,700 MARIETTA ST NW,504,Marietta Street Artery,E,33.77197,-84.40168
LARCENY-NON VEHICLE,103020030,10292010,1616 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79884,-84.36815
LARCENY-FROM VEHICLE,103021190,10292010,2037 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81036,-84.35113
LARCENY-FROM VEHICLE,103021651,10292010,1910 VENETIAN DR SW,408,Venetian Hills,S,33.71439,-84.45057
ROBBERY-PEDESTRIAN,103022498,10292010,2132 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70659,-84.45411
BURGLARY-RESIDENCE,103011362,10282010,1183 MOTON AVE SW,302,Pittsburgh,V,33.72261,-84.397
BURGLARY-RESIDENCE,103012164,10282010,4326 GREENLEAF CIR SW,413,Wildwood Forest,P,33.68427,-84.54044
BURGLARY-RESIDENCE,103010369,10282010,1271 CAHABA DR SW,408,Venetian Hills,S,33.72011,-84.44867
BURGLARY-RESIDENCE,103001430,10272010,2572 LENOX RD NE,210,Pine Hills,B,33.82467,-84.35248
LARCENY-FROM VEHICLE,103002325,10272010,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786
AUTO THEFT,103000560,10272010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
LARCENY-NON VEHICLE,103001088,10272010,97 CLAY ST SE,610,Kirkwood,O,33.7506,-84.3307
LARCENY-FROM VEHICLE,102990794,10262010,965 CUNNINGHAM PL. SW,104,Harris Chiles,T,33.74333,-84.41964
LARCENY-FROM VEHICLE,102991536,10262010,1579 MONROE DR NE,213,Piedmont Heights,F,33.79819,-84.36974
LARCENY-FROM VEHICLE,102992126,10262010, 935 MARIETTA STREET SW,504,Marietta Street Artery,E,33.77795,-84.40849
LARCENY-NON VEHICLE,102981643,10252010,529 IRWIN ST NE,604,Old Fourth Ward,M,33.75754,-84.37018
AUTO THEFT,102980176,10252010,820 W MARIETTA ST NW,103,English Avenue,L,33.78089,-84.41622
AUTO THEFT,102981053,10252010,1560 METROPOLITAN PKWY SW @ATLANTA AREA TECH S,306,Sylvan Hills,X,33.71194,-84.40422
LARCENY-NON VEHICLE,102981600,10252010,2573 COLLIER RD ,112,Collier Heights,I,33.76389,-84.47186
