crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,163380019,12032016,1544 PIEDMONT AVE NE ,213,Piedmont Heights,F,33.79789,-84.37101
LARCENY-NON VEHICLE,163381284,12032016,1470 FAIRBANKS ST SW,301,Capitol View,X,33.71475,-84.41485
LARCENY-FROM VEHICLE,163382234,12032016,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017
LARCENY-NON VEHICLE,163371893,12022016,1640 ABNER TER NW,110,Carver Hills,G,33.80054,-84.46343
LARCENY-FROM VEHICLE,163373183,12022016,1587 HOWELL MILL RD NW,207,Berkeley Park,D,33.79835,-84.41575
LARCENY-NON VEHICLE,163371055,12022016,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
AUTO THEFT,163361555,12012016,2201 HOSEA L WILLIAMS DR SE,610,Kirkwood,O,33.75083,-84.31569
LARCENY-FROM VEHICLE,163363166,12012016,1025 HOWELL MILL RD NW ,501,Home Park,E,33.78285,-84.41126
AUTO THEFT,93650673,12312009,276 FENNEL WAY SW,407,Wilson Mill Meadows,H,33.75498,-84.51621
LARCENY-FROM VEHICLE,93651111,12312009,SAMPSON ST NE / HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76133,-84.36553
AGG ASSAULT,93652121,12312009,496 BOULEVARD NE,603,Old Fourth Ward,M,33.76777,-84.372
AUTO THEFT,93640361,12302009,2525 PIEDMONT RD NE,206,Buckhead Village,B,33.83733,-84.36867
BURGLARY-RESIDENCE,93640947,12302009,875 CREW ST SW,304,Peoplestown,V,33.731,-84.38955
BURGLARY-RESIDENCE,93641436,12302009,1027 LITTLE HAMPTON CT SE,313,South River Gardens,Z,33.65872,-84.35215
AUTO THEFT,93641920,12302009,1635 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.70941,-84.34994
LARCENY-FROM VEHICLE,93630748,12292009,3221 PEACHTREE RD NE,206,Buckhead Village,B,33.84218,-84.37344
LARCENY-FROM VEHICLE,93631202,12292009,562 MELDRUM ST NW,103,English Avenue,L,33.76894,-84.40571
AGG ASSAULT,93632029,12292009,3501 MARTIN L KING JR DR SW @FIRE STATION 9,111,Adamsville,H,33.75774,-84.50205
BURGLARY-NONRES,93620335,12282009,2799 NORTHSIDE DR NW,205,Wyngate,C,33.83107,-84.40651
LARCENY-NON VEHICLE,93621014,12282009,3500 PEACHTREE RD NE,208,North Buckhead,B,33.85302,-84.36278
LARCENY-NON VEHICLE,93621554,12282009,480 PEACHTREE HILLS AVE NE,211,Peachtree Hills,B,33.81949,-84.37347
LARCENY-NON VEHICLE,93610671,12272009,2539 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328
BURGLARY-RESIDENCE,93611377,12272009,275 ARGUS CIR NW,111,Adamsville,H,33.76289,-84.50466
BURGLARY-RESIDENCE,93600557,12262009,3150 REEVES CIR NW,111,,I,33.75451,-84.49038
LARCENY-NON VEHICLE,93601045,12262009,305 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.763,-84.41736
BURGLARY-RESIDENCE,93591164,12252009,1445 MONROE DR NE,213,Morningside/Lenox Park,F,33.79407,-84.36714
LARCENY-FROM VEHICLE,93591024,12252009,496 HOLDERNESS ST SW,401,West End,T,33.74148,-84.42655
LARCENY-NON VEHICLE,93581484,12242009,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
BURGLARY-RESIDENCE,93580726,12242009,676 QUEEN ST.  SW,402,West End,T,33.7366,-84.42519
LARCENY-FROM VEHICLE,93571670,12232009,189 FORSYTH ST,512,Downtown,M,33.75029,-84.39184
ROBBERY-PEDESTRIAN,93570126,12232009,60 PASCHAL BLVD NW,102,Vine City,L,33.75673,-84.41454
LARCENY-NON VEHICLE,93562263,12232009,1510 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79586,-84.37032
LARCENY-NON VEHICLE,93561120,12222009,230 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68075,-84.38217
AUTO THEFT,93561746,12222009,479 BARTRAM ST SE,606,Ormewood Park,W,33.74084,-84.3572
ROBBERY-PEDESTRIAN,93560071,12222009,1440 WESTMONT RD SW,403,Venetian Hills,S,33.71595,-84.43738
AGG ASSAULT,93560752,12222009,250 POWELL ST SE,606,Cabbagetown,N,33.74772,-84.36551
LARCENY-FROM VEHICLE,93551914,12212009,2050 LIDDELL DR NE,212,Morningside/Lenox Park,F,33.81056,-84.36161
BURGLARY-RESIDENCE,93551565,12212009,4589 SANTA FE TRL SW,413,Arlington Estates,P,33.69277,-84.53802
LARCENY-FROM VEHICLE,93551133,12212009,353 MORELAND AVE NE,608,Candler Park,N,33.76393,-84.34873
BURGLARY-NONRES,93550565,12212009,381 MORELAND AVE SE,606,Ormewood Park,W,33.74357,-84.34957
LARCENY-FROM VEHICLE,93540661,12202009,210 PEACHTREE ST NW @WESTIN HOTEL,508,Downtown,M,33.75943,-84.38837
LARCENY-NON VEHICLE,93541039,12202009,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
AGG ASSAULT,93531615,12192009,840 N EVELYN PL NW,110,Grove Park,J,33.77708,-84.44644
AUTO THEFT,93530367,12192009,1959 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7008,-84.41018
LARCENY-FROM VEHICLE,93530980,12192009,49 BOULEVARD SE,604,Sweet Auburn,M,33.75275,-84.37186
ROBBERY-PEDESTRIAN,93522251,12182009,624 MAGNOLIA ST. NW,102,Vine City,L,33.75798,-84.40773
BURGLARY-RESIDENCE,93520937,12182009,1640 MALDO DR NW,113,Lincoln Homes,G,33.80064,-84.48207
AUTO THEFT,93521591,12182009,515 FULTON ST SW,303,Mechanicsville,V,33.741,-84.40447
