crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
BURGLARY-RESIDENCE,103040333,10312010,430 W WESLEY RD NW,205,Peachtree Battle Alliance,C,33.82838,-84.40133
ROBBERY-PEDESTRIAN,103040345,10312010,MYRTLE DR @ PLAZA LN,410,Campbellton Road,R,33.70537,-84.45498
LARCENY-NON VEHICLE,103041263,10312010,2700 PINE TREE DR NE,210,Pine Hills,B,33.82606,-84.35908
AUTO THEFT,103041268,10312010,372 LEGACY DR SW,104,Harris Chiles,T,33.74385,-84.41909
LARCENY-FROM VEHICLE,103041776,10312010,PRATT ST SE / ARMSTRONG ST SE,510,Downtown,M,33.75187,-84.38083
LARCENY-NON VEHICLE,103041793,10312010,1111 ARLINGTON AVE,402,Oakland City,S,33.72418,-84.42425
AUTO THEFT,103031236,10302010,2 13TH ST NE,503,Midtown,E,33.7858,-84.38757
LARCENY-FROM VEHICLE,103031257,10302010,23 LARKIN PL SW,507,Castleberry Hill,M,33.74749,-84.40414
AUTO THEFT,103032241,10302010,232 FORSYTH ST SW,512,Downtown,M,33.74852,-84.39636
LARCENY-NON VEHICLE,103032293,10302010,231 18TH ST NW,501,Atlantic Station,E,33.79249,-84.3954
LARCENY-FROM VEHICLE,103030943,10302010,901 BOLTON RD NW,114,Bankhead/Bolton,H,33.77948,-84.49901
LARCENY-NON VEHICLE,103031037,10302010,4302 CREEK VALLEY CT SW,413,Elmco Estates,P,33.69197,-84.53091
LARCENY-NON VEHICLE,103020888,10292010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
ROBBERY-PEDESTRIAN,103020913,10292010,2148 PALIFOX DR NE,608,Lake Claire,N,33.76427,-84.31805
LARCENY-FROM VEHICLE,103021445,10292010,1333 WHITE STREET,402,West End,T,33.73805,-84.43028
LARCENY-NON VEHICLE,103021455,10292010,2415 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82171,-84.37117
LARCENY-NON VEHICLE,103022127,10292010,737 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.36289
LARCENY-FROM VEHICLE,103022137,10292010,2222 DORAL CT SW,413,Fairway Acres,P,33.68764,-84.53745
AUTO THEFT,103011054,10282010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
BURGLARY-RESIDENCE,103011066,10282010,1585 LINDA WAY SW,404,Westview,T,33.73464,-84.43927
LARCENY-NON VEHICLE,103011841,10282010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
BURGLARY-RESIDENCE,103011892,10282010,1689 ABNER CT NW,110,Carver Hills,G,33.80205,-84.4665
LARCENY-FROM VEHICLE,103012587,10282010,875 PARSONS ST SW,101,Atlanta University Center,T,33.75101,-84.41629
AUTO THEFT,103012589,10282010,1422 W PEACHTREE ST NW,502,Midtown,E,33.79345,-84.3882
AUTO THEFT,103001215,10272010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-FROM VEHICLE,103001229,10272010,1040 N HIGHLAND AVE NE,601,Virginia Highland,F,33.78287,-84.35477
LARCENY-FROM VEHICLE,103002053,10272010,MONROE DR NE / KANUGA ST NE,601,Virginia Highland,F,33.78234,-84.36813
LARCENY-NON VEHICLE,103002079,10272010,695 NORTH AVE NE,603,Old Fourth Ward,M,33.77073,-84.3645
LARCENY-FROM VEHICLE,103000287,10272010,191 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75945,-84.38595
AUTO THEFT,103000310,10272010,559 GRANT ST SE,605,Grant Park,W,33.73932,-84.37659
LARCENY-NON VEHICLE,103000911,10272010,2229 DOLTON DR,204,Bolton,D,33.81487,-84.44024
BURGLARY-RESIDENCE,103000930,10272010,55 STAFFORD STREET NW ,105,Hunter Hills,K,33.7564,-84.42556
AUTO THEFT,102990477,10262010,500 10TH ST NE,502,,E,33.78186,-84.373
BURGLARY-RESIDENCE,102990495,10262010,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.70979,-84.35849
LARCENY-NON VEHICLE,102991304,10262010,388 LUCKIE ST NW,504,Downtown,M,33.76516,-84.3964
LARCENY-NON VEHICLE,102991309,10262010,2799 PIEDMONT RD NE,211,Peachtree Park,B,33.83047,-84.36763
BURGLARY-RESIDENCE,102991873,10262010,537 OLIVER ST NW,103,English Avenue,L,33.76944,-84.41523
BURGLARY-RESIDENCE,102991883,10262010,875 HANK AARON DR SW,304,Peoplestown,V,33.73065,-84.38805
LARCENY-FROM VEHICLE,102992503,10262010,100 LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
LARCENY-FROM VEHICLE,102992541,10262010,652 QUEEN ST SW,402,West End,T,33.73731,-84.42514
LARCENY-FROM VEHICLE,102981962,10252010,3365 PIEDMONT RD NE,208,North Buckhead,B,33.84568,-84.37229
LARCENY-FROM VEHICLE,102981969,10252010,2140 PEACHTREE RD NW,207,,C,33.81301,-84.3938
AUTO THEFT,102980780,10252010,454 MARIETTA ST NW,507,Downtown,M,33.76575,-84.39781
AUTO THEFT,102980788,10252010,I-20 WB EXPY NW & MARTIN L KING JR DR NW,104,Penelope Neighbors,J,33.75095,-84.44468
LARCENY-FROM VEHICLE,102981283,10252010,75 MARTIN L KING JR DR SW,511,Downtown,M,33.75119,-84.38996
LARCENY-NON VEHICLE,102981299,10252010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
AGG ASSAULT,102971204,10242010,445 MARKHAM ST SW,507,Castleberry Hill,M,33.75274,-84.40069
LARCENY-FROM VEHICLE,102971223,10242010,1170 CRESCENT AVE NE,503,Midtown,E,33.78633,-84.38471
AGG ASSAULT,102971789,10242010,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.70982,-84.35933
BURGLARY-RESIDENCE,102971794,10242010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
LARCENY-FROM VEHICLE,102970779,10242010,771 ADAIR AVE NE,601,Virginia Highland,F,33.77975,-84.3622
AUTO THEFT,102970786,10242010,1033 HOLLYWOOD RD,110,Almond Park,G,33.78308,-84.45882
BURGLARY-RESIDENCE,102961188,10232010,804 BROOKDALE DR SW,309,Perkerson,X,33.68625,-84.4157
AUTO THEFT,102961202,10232010,850 OAK ST SW,401,West End,T,33.74057,-84.4168
BURGLARY-RESIDENCE,102961598,10232010,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276
BURGLARY-RESIDENCE,102961602,10232010,651 LANGSTON DR SW,309,Perkerson,X,33.69559,-84.40982
LARCENY-NON VEHICLE,102960531,10232010,JAMES P BRAWLEY DR NW / JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76344,-84.41261
AUTO THEFT,102960558,10232010,980 HILL ST SE,605,Grant Park,W,33.72773,-84.37826
BURGLARY-NONRES,102942462,10222010,27 ABERDEEN ST NE,609,Edgewood,O,33.75428,-84.34443
LARCENY-FROM VEHICLE,102952545,10222010,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65781,-84.5092
LARCENY-FROM VEHICLE,102950707,10222010,4555 DANFORTH RD SW,412,Midwest Cascade,Q,33.72744,-84.53708
BURGLARY-RESIDENCE,102950709,10222010,2039 HOLLYWOOD RD NW,203,Riverside,D,33.8112,-84.4708
ROBBERY-PEDESTRIAN,102951294,10222010,1129 MCDANIEL ST SW,304,Peoplestown,V,33.72209,-84.39336
LARCENY-NON VEHICLE,102951333,10222010,645 SHELTON AVE SW,301,Adair Park,V,33.73495,-84.40898
AGG ASSAULT,102951981,10222010,454 COURTLAND ST NE,509,Downtown,M,33.76685,-84.38419
AGG ASSAULT,102951997,10222010,497 LINDSAY ST NW,103,English Avenue,L,33.76834,-84.41623
LARCENY-FROM VEHICLE,102940474,10212010,89 CHICAMAUGA AVE SW,104,Mozley Park,K,33.7526,-84.4324
AUTO THEFT,102940485,10212010,255 ATLANTA AVE SE,304,Peoplestown,V,33.73011,-84.37948
LARCENY-NON VEHICLE,102941159,10212010,929 CHARLES ALLEN DR NE @GRADY HIGH,506,Midtown,E,33.78119,-84.37151
BURGLARY-RESIDENCE,102941176,10212010,2539 BROWNS MILL RD SE,310,Browns Mill Park,Z,33.68478,-84.37987
LARCENY-NON VEHICLE,102941904,10212010,65 ALABAMA ST SW @UNDERGROUND ATLANTA,511,Downtown,M,33.75258,-84.38992
BURGLARY-RESIDENCE,102941918,10212010,3443 KINGSBORO RD NE,210,Buckhead Heights,B,33.84984,-84.35795
BURGLARY-RESIDENCE,102931399,10202010,1631 STANTON RD SW,408,,R,33.71076,-84.4438
LARCENY-FROM VEHICLE,102931413,10202010,3131 MERRICK DR NE,210,Pine Hills,B,33.84021,-84.35129
AUTO THEFT,102932214,10202010,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
LARCENY-FROM VEHICLE,102932243,10202010,832 JUNIPER ST,505,Midtown,E,33.77743,-84.38293
AGG ASSAULT,102930851,10202010,445 CLEVELAND AVE SE;,312,Rosedale Heights,Z,33.68149,-84.37152
BURGLARY-RESIDENCE,102930885,10202010,2037 CLAUDE ST,203,Riverside,D,33.81087,-84.46579
ROBBERY-PEDESTRIAN,102932427,10202010,917 PIEDMONT AVE NE,503,Midtown,E,33.77966,-84.38064
ROBBERY-PEDESTRIAN,102932445,10202010,PIEDMONT AVE NE / 8TH ST NE    ,505,Midtown,E,33.77953,-84.38109
LARCENY-FROM VEHICLE,102920748,10192010,929 CHEROKEE AVE SE,605,Grant Park,W,33.72917,-84.37385
LARCENY-NON VEHICLE,102920768,10192010,2260 COTTAGE GROVE AVE SE,611,Kirkwood,O,33.75016,-84.3134
LARCENY-FROM VEHICLE,102921578,10192010,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79789,-84.37101
LARCENY-NON VEHICLE,102921583,10192010,1980 DELOWE DR,408,Campbellton Road,R,33.70106,-84.45698
LARCENY-FROM VEHICLE,102922527,10192010,3316 PIEDMONT RD NE,208,Buckhead Forest,B,33.84536,-84.37284
ROBBERY-PEDESTRIAN,102922550,10192010,501 CONNELL AVE SW,309,Perkerson,X,33.68373,-84.40415
AGG ASSAULT,102911613,10182010,2410 BENJAMIN E MAYS,406,Cascade Heights,I,33.72304,-84.46669
BURGLARY-RESIDENCE,102911642,10182010,1975 ALISON CT SW,410,Campbellton Road,R,33.70081,-84.45327
LARCENY-NON VEHICLE,102911219,10182010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
AUTO THEFT,102911225,10182010,1660 MERTON RD NE,213,Morningside/Lenox Park,F,33.80028,-84.35588
LARCENY-NON VEHICLE,102910575,10182010,639 DILL AVE SW,301,Capitol View,X,33.71843,-84.40839
LARCENY-NON VEHICLE,102910590,10182010,1418 WOODBINE AVE SE,609,Edgewood,O,33.74993,-84.34109
BURGLARY-NONRES,102810838,10182010,90 BOULEVARD SE,604,Sweet Auburn,M,33.75681,-84.37222
AGG ASSAULT,102901562,10172010,396 JOSEPH E LOWERY BLVD NW,106,Bankhead,K,33.7655,-84.41755
LARCENY-FROM VEHICLE,102900486,10172010,87 FAIRLIE ST NW,508,Downtown,M,33.75696,-84.38986
ROBBERY-PEDESTRIAN,102900487,10172010,1947 HOSEA L WILLIAMS DR SE,610,Kirkwood,O,33.75203,-84.324
BURGLARY-RESIDENCE,102901229,10172010,1975 ALISON CT SW,410,Campbellton Road,R,33.70081,-84.45327
