crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
BURGLARY-RESIDENCE,103041130,10312010,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755
AGG ASSAULT,103041647,10312010,1123 JONES AVE,110,Grove Park,J,33.78545,-84.45178
LARCENY-FROM VEHICLE,103032441,10302010,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65781,-84.5092
AUTO THEFT,103031808,10302010,1306 EASTRIDGE RD SW,408,Venetian Hills,S,33.71946,-84.44495
LARCENY-FROM VEHICLE,103030778,10302010,1217 GRACEWOOD AVE SE,612,East Atlanta,W,33.73272,-84.34776
ROBBERY-PEDESTRIAN,103020568,10292010,1865 CHESHIRE BRIDGE RD,213,Morningside/Lenox Park,F,33.80864,-84.36137
LARCENY-FROM VEHICLE,103021289,10292010,MARTIN L KING JR DR SW / CENTRAL AVE SW,511,Downtown,M,33.75079,-84.38987
LARCENY-FROM VEHICLE,103021870,10292010,1447 PIEDMONT AVE NE,502,Midtown,E,33.79396,-84.37186
BURGLARY-RESIDENCE,103010907,10282010,1355 CAMPBELLTON RD SW,403,Venetian Hills,S,33.71551,-84.43244
BURGLARY-RESIDENCE,103011589,10282010,186 HOWELL DR SW,407,Adamsville,H,33.75304,-84.50328
LARCENY-FROM VEHICLE,103012343,10282010,1190 N HIGHLAND AVE NE,601,Virginia Highland,F,33.78709,-84.35544
LARCENY-FROM VEHICLE,103010638,10282010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73365,-84.40221
AUTO THEFT,103001600,10272010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
AGG ASSAULT,103002402,10272010,987 ASHBY GRV SW,104,Ashview Heights,T,33.75009,-84.41985
LARCENY-FROM VEHICLE,103000662,10272010,3460 KINGSBORO ROAD,210,Buckhead Heights,B,33.85015,-84.35835
BURGLARY-NONRES,102990080,10262010,2596 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77539,-84.47199
LARCENY-NON VEHICLE,102991033,10262010,501  HARPER RD SE,310,Lakewood,Z,33.69664,-84.37259
LARCENY-FROM VEHICLE,102991702,10262010,1661 MERTON RD NE,213,Morningside/Lenox Park,F,33.79992,-84.35525
AUTO THEFT,102992315,10262010,198 MITCHELL ST SW,512,Downtown,M,33.75166,-84.39433
LARCENY-FROM VEHICLE,102981850,10252010,3850 ROSWELL RD,209,East Chastain Park,B,33.85988,-84.38156
BURGLARY-RESIDENCE,102980583,10252010,897 BECKWITH ST,101,Atlanta University Center,T,33.75235,-84.417
LARCENY-NON VEHICLE,102981145,10252010,366 WELLINGTON ST SW,404,Westview,T,33.74526,-84.43852
AUTO THEFT,102970039,10242010,1030 SELLS AVE,104,Harris Chiles,T,33.74529,-84.4233
AGG ASSAULT,102971532,10242010,4518 CLEMENT DR SW,407,Bakers Ferry,H,33.75273,-84.53368
ROBBERY-PEDESTRIAN,102970552,10242010,1874 PIEDMONT AVE NE,212,Piedmont Heights,F,33.80721,-84.36643
BURGLARY-RESIDENCE,102960972,10232010,1167 BOOKER AVE SW,302,Pittsburgh,V,33.723,-84.39771
AGG ASSAULT,102961439,10232010,1295 DONNELLY AVE,402,West End,T,33.73487,-84.42975
ROBBERY-PEDESTRIAN,102960148,10232010,228 AUBURN AVE NE ,510,Downtown,M,33.75562,-84.38012
AUTO THEFT,102962222,10232010,WESTVIEW DR SW / AGNES JONES PL SW,104,Ashview Heights,T,33.74761,-84.42166
BURGLARY-NONRES,102950356,10222010,678 MCDANIEL ST SW,303,Mechanicsville,V,33.73637,-84.40134
LARCENY-NON VEHICLE,102951127,10222010,930 GREENWOOD AVE NE,601,Virginia Highland,F,33.77679,-84.35697
BURGLARY-RESIDENCE,102951746,10222010,3352 HAZELWOOD DR SW,406,Green Acres Valley,I,33.72739,-84.49833
AUTO THEFT,102940202,10212010,3391 PEACHTREE RD NE,210,Lenox,B,33.84886,-84.36448
LARCENY-NON VEHICLE,102941051,10212010,796 METROPOLITAN PKWY SW,302,Pittsburgh,V,33.73324,-84.40777
AGG ASSAULT,102941629,10212010,1332 BOULEVARD SE,607,Benteen Park,W,33.71884,-84.36841
AGG ASSAULT,102942469,10212010,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67339,-84.37144
LARCENY-NON VEHICLE,102932013,10202010,3535 PEACHTREE RD NE ;LENOX MARKET PLACE,210,Lenox,B,33.85182,-84.3595
