crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-NON VEHICLE,103040029,10312010,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895
BURGLARY-RESIDENCE,103041224,10312010,292 MORGAN PLACE S.E.,611,East Lake,O,33.74446,-84.29171
LARCENY-NON VEHICLE,103041704,10312010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
BURGLARY-RESIDENCE,103031154,10302010,1971 PINE OAK DR SW,404,Westwood Terrace,I,33.7361,-84.45231
LARCENY-NON VEHICLE,103032044,10302010,199 11TH ST NE,503,Midtown,E,33.78291,-84.3807
LARCENY-FROM VEHICLE,103030860,10302010,180 JACKSON ST NE,604,Sweet Auburn,M,33.75905,-84.37546
BURGLARY-RESIDENCE,103020801,10292010,1871 PLAZA LN SW,410,Campbellton Road,R,33.70518,-84.45336
RAPE,103021371,10292010,929 CHARLES ALLEN DR NE @GRADY HIGH,506,Midtown,E,33.78119,-84.37151
LARCENY-NON VEHICLE,103022029,10292010,1097 HOLLYWOOD RD,110,Almond Park,G,33.78526,-84.46082
BURGLARY-RESIDENCE,103010984,10282010,310 6TH ST NE,506,Midtown,E,33.77628,-84.37717
LARCENY-NON VEHICLE,103011739,10282010,40 HARLAN RD SW,405,Harland Terrace,I,33.75338,-84.48085
LARCENY-FROM VEHICLE,103012490,10282010,542 MORELAND AVE SE,612,East Atlanta,W,33.73931,-84.34896
BURGLARY-RESIDENCE,103010809,10282010,4407 PEACHTREE PARK DR NE,207,,E,33.81384,-84.38967
LARCENY-FROM VEHICLE,103001812,10272010,825 MARTIN L KING JR DR NW,102,Vine City,L,33.75488,-84.41378
LARCENY-FROM VEHICLE,103000110,10272010,100 LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
AUTO THEFT,103000801,10272010,46 S PRADO NE,502,Ansley Park,E,33.79084,-84.37697
ROBBERY-PEDESTRIAN,102990449,10262010,766 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73417,-84.41746
BURGLARY-RESIDENCE,102991123,10262010,1989 PHILLIPS DR SE,308,Thomasville Heights,Z,33.69949,-84.354
BURGLARY-RESIDENCE,102991803,10262010,78 ADAIR AVE SE,307,Lakewood Heights,Y,33.70644,-84.38572
LARCENY-NON VEHICLE,102992445,10262010,2900 CAMPBELLTON RD SW,409,Southwest,R,33.69761,-84.48336
LARCENY-FROM VEHICLE,102981933,10252010,2391 PEACHTREE RD NE,211,Peachtree Hills,B,33.8206,-84.3881
LARCENY-NON VEHICLE,102980729,10252010,939 JEFFERSON ST NW ,106,Knight Park/Howell Station,K,33.77568,-84.4187
LARCENY-FROM VEHICLE,102981205,10252010,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424
LARCENY-NON VEHICLE,102970180,10242010,705 PIEDMONT AVE NE,505,Midtown,E,33.77385,-84.38154
LARCENY-FROM VEHICLE,102971668,10242010,6TH ST NE / PEACHTREE ST NE,505,Midtown,E,33.77736,-84.38442
AGG ASSAULT,102970681,10242010,2198 VESTA AVE NW,108,Dixie Hills,J,33.75393,-84.45985
LARCENY-FROM VEHICLE,102961099,10232010,1925 MONROE DR NE,212,Piedmont Heights,F,33.80856,-84.37506
BURGLARY-RESIDENCE,102961499,10232010,243 OLLIE ST NW,105,Washington Park,K,33.76105,-84.42214
LARCENY-FROM VEHICLE,102960367,10232010,W PEACHTREE PL NW / WILLIAMS ST NW,508,Downtown,M,33.76403,-84.39036
LARCENY-NON VEHICLE,102962349,10232010,242 PETERS ST SW ,507,Castleberry Hill,M,33.74797,-84.40116
LARCENY-FROM VEHICLE,102950567,10222010,1598 JONESBORO RD SE,307,Lakewood Heights,Y,33.70886,-84.38078
BURGLARY-RESIDENCE,102951259,10222010,2299 BEECHER RD SW,406,Cascade Avenue/Road,S,33.7267,-84.46404
BURGLARY-RESIDENCE,102951841,10222010,1102 CASCADE AVE SW,403,Cascade Avenue/Road,S,33.72516,-84.44692
LARCENY-FROM VEHICLE,102940306,10212010,PEACHTREE ST NE / 11TH ST NE,503,Midtown,E,33.78305,-84.38387
BURGLARY-RESIDENCE,102941096,10212010,160 CLAIRE DR SE,307,Lakewood Heights,Y,33.70528,-84.38286
LARCENY-NON VEHICLE,102941827,10212010,1017 SAINT CHARLES AVE NE,601,Virginia Highland,F,33.77532,-84.35411
LARCENY-NON VEHICLE,102901615,10212010,2166 PEACHTREE RD,207,,C,33.81349,-84.39275
AGG ASSAULT,102932099,10202010,800 LAKESIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74701,-84.31772
