crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,103040174,10312010,1752 PRYOR RD SW,307,Betmar LaVilla,Y,33.70731,-84.39674
AUTO THEFT,103041244,10312010,3909 CAMPBELLTON RD SW,412,Kings Forest,P,33.6924,-84.51637
LARCENY-NON VEHICLE,103041747,10312010,1195 WOODLAND AVE NE,213,Lindridge/Martin Manor,F,33.81477,-84.34908
BURGLARY-RESIDENCE,103031169,10302010,300 PEACHTREE ST NE,508,Downtown,M,33.76293,-84.38714
BURGLARY-RESIDENCE,103032196,10302010,2327 LEILA LN SE,308,Leila Valley,Z,33.69054,-84.35532
BURGLARY-RESIDENCE,103030920,10302010,1155 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.7636,-84.42558
AUTO THEFT,103020845,10292010,483 MONUMENT AVE SE,612,East Atlanta,W,33.74103,-84.34159
BURGLARY-RESIDENCE,103021411,10292010,20 WALTHALL ST NE,606,Reynoldstown,N,33.75427,-84.35196
LARCENY-NON VEHICLE,103022075,10292010,850 OAK ST,401,West End,T,33.74057,-84.4168
AGG ASSAULT,103011049,10282010,2084 BROWNS MILL RD SE,310,Lakewood,Z,33.69762,-84.37384
LARCENY-FROM VEHICLE,103011801,10282010,1944 PIEDMONT CIR NE,212,Piedmont Heights,F,33.81165,-84.36787
AUTO THEFT,103012577,10282010,524 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.76877,-84.36796
LARCENY-FROM VEHICLE,103010870,10282010,902 EDWIN ST NW,110,Grove Park,J,33.77963,-84.44675
BURGLARY-RESIDENCE,103001889,10272010,717 LEE ST SW,401,West End,T,33.73516,-84.41421
LARCENY-FROM VEHICLE,103000189,10272010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
LARCENY-FROM VEHICLE,103000858,10272010,300 PEACHTREE ST NE,508,Downtown,M,33.76293,-84.38714
LARCENY-FROM VEHICLE,102990474,10262010,500 10TH ST,502,Midtown,E,33.78174,-84.36869
BURGLARY-RESIDENCE,102991198,10262010,3437 HOGAN RD SW,414,Ben Hill Forest,P,33.67633,-84.50167
BURGLARY-RESIDENCE,102991840,10262010,1690 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72665,-84.44342
BURGLARY-RESIDENCE,102992474,10262010,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671
LARCENY-FROM VEHICLE,102981954,10252010,386 CAIRO ST,106,Bankhead,K,33.76526,-84.41984
BURGLARY-RESIDENCE,102980760,10252010,2296 CARVER DR NW,108,Dixie Hills,J,33.7597,-84.46274
LARCENY-FROM VEHICLE,102981260,10252010,PEACHTREE CENTER AVE NE / ELLIS ST NE,510,Downtown,M,33.75841,-84.38608
LARCENY-FROM VEHICLE,102971123,10242010,105 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.75164,-84.4179
BURGLARY-RESIDENCE,102971749,10242010,3021 W PEEK RD NW,112,Collier Heights,I,33.77368,-84.48555
LARCENY-NON VEHICLE,102970765,10242010,488 BARTRAM ST SE,606,Ormewood Park,W,33.7409,-84.35688
LARCENY-FROM VEHICLE,102961133,10232010,1715 HOWELL MILL RD NW,204,Berkeley Park,D,33.80089,-84.4157
LARCENY-FROM VEHICLE,102961575,10232010,CRESCENT AVE NE / 13TH ST NE,503,Midtown,E,33.78562,-84.38422
