crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,103040981,10312010,901 BOLTON RD NW,114,Bankhead/Bolton,H,33.77948,-84.49901
LARCENY-NON VEHICLE,103041004,10312010,36 HARRIS ST NW,508,Downtown,M,33.76089,-84.38855
LARCENY-FROM VEHICLE,103041582,10312010,1424 N HIGHLAND AVE NE,213,Morningside/Lenox Park,F,33.79351,-84.35148
LARCENY-FROM VEHICLE,103041587,10312010,836 MITCHELL ST SW,101,Atlanta University Center,T,33.75327,-84.41491
AUTO THEFT,103032437,10312010,252 W LAKE DR NW,105,West Lake,J,33.76186,-84.43977
HOMICIDE,103041842081,10312010,912 JOSEPH E BOONE DR NW,102,Vine City,L,33.76326,-84.41711
LARCENY-NON VEHICLE,103031711,10302010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
BURGLARY-RESIDENCE,103031746,10302010,898 CAPITOL VIEW AVE NW,109,Center Hill,J,33.77952,-84.46747
AUTO THEFT,103030698,10302010,429 CALHOUN ST NW,501,Home Park,E,33.78295,-84.401
LARCENY-NON VEHICLE,103030700,10302010,105 COLLIER RD NW,207,,E,33.80821,-84.39686
AUTO THEFT,103020373,10292010,972 FERN AVE SE,304,Peoplestown,V,33.72798,-84.38493
AUTO THEFT,103020506,10292010,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507
AUTO THEFT,103021257,10292010,4496 CAMPBELLTON RD,413,,P,33.69597,-84.53536
LARCENY-NON VEHICLE,103021265,10292010,99 ORMOND ST SE,304,Peoplestown,V,33.73146,-84.38474
LARCENY-NON VEHICLE,103021774,10292010,PEYTON WOODS TRL SW / PEYTON RD SW,406,Peyton Forest,I,33.74291,-84.47917
BURGLARY-RESIDENCE,103021794,10292010,1643 WESTHAVEN DR SW,404,Cascade Avenue/Road,S,33.73281,-84.44158
LARCENY-FROM VEHICLE,103022702,10292010,45 WHITEHOUSE DR SW,104,Ashview Heights,T,33.75382,-84.42109
LARCENY-NON VEHICLE,103022740,10292010,2176 COUNTY LINE RD SW,413,Elmco Estates,P,33.69526,-84.53435
LARCENY-NON VEHICLE,103011509,10282010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
LARCENY-FROM VEHICLE,103011526,10282010,1560 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.71194,-84.40422
BURGLARY-RESIDENCE,103012248,10282010,2894 BROWNS MILL RD SE,312,Orchard Knob,Z,33.6756,-84.38385
BURGLARY-RESIDENCE,103012255,10282010,2383 CHERRY BLOSSOM DR SW,412,Meadowbrook Forest,P,33.6908,-84.50343
LARCENY-FROM VEHICLE,103010468,10282010,923 EDWIN ST NW,110,Grove Park,J,33.78026,-84.44582
AUTO THEFT,103010475,10282010,187 FAIRBURN RD SW,407,Fairburn Mays,H,33.7506,-84.50773
AUTO THEFT,103001522,10272010,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76479,-84.4579
AGG ASSAULT,103001524,10272010,551 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77326,-84.36889
LARCENY-FROM VEHICLE,103002374,10272010,700 CYPRESS ST NE,505,Midtown,E,33.77394,-84.3863
LARCENY-FROM VEHICLE,103002380,10272010,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77914,-84.41116
AUTO THEFT,103000620,10272010,394 OAKLAND AVE SE,605,Grant Park,W,33.7439,-84.37465
LARCENY-FROM VEHICLE,103000621,10272010,1039 HIGH POINT TER SW,305,High Point,Y,33.71707,-84.39449
AUTO THEFT,103001182,10272010,1422 CHATTAHOOCEE AVE,203,Hills Park,D,33.80672,-84.43462
AUTO THEFT,102800447,10272010,2053 TIGER FLOWERS ,108,Dixie Hills,J,33.76038,-84.45451
BURGLARY-RESIDENCE,102990876,10262010,31 GOULD ST SE;,307,Lakewood Heights,Y,33.70702,-84.37718
LARCENY-FROM VEHICLE,102990887,10262010,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.70979,-84.35849
LARCENY-NON VEHICLE,102991563,10262010,185 CENTRAL  AVE SW,512,Downtown,M,33.7499,-84.39058
AUTO THEFT,102991619,10262010,243 MCDONOUGH BLVD. SW,305,South Atlanta,Y,33.71733,-84.38077
LARCENY-NON VEHICLE,102992215,10262010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
AGG ASSAULT,102992222,10262010,1519 PRYOR RD SW,307,Joyland,Y,33.71403,-84.3939
LARCENY-NON VEHICLE,102981790,10252010,195 FAIRBURN NW,111,Adamsville,H,33.76084,-84.50343
LARCENY-NON VEHICLE,102981795,10252010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
LARCENY-FROM VEHICLE,102980397,10252010,194 LINKWOOD RD NW,112,Collier Heights,I,33.76044,-84.4828
AUTO THEFT,102980404,10252010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
LARCENY-FROM VEHICLE,102981090,10252010,LUCKIE ST NW / CONE ST NW,508,Downtown,M,33.75786,-84.39012
LARCENY-FROM VEHICLE,102981099,10252010,964 CHARLES ALLEN DR. NE.,503,Midtown,E,33.78089,-84.373
BURGLARY-RESIDENCE,102972065,10242010,147 26TH ST NW,207,Brookwood,E,33.80251,-84.39773
