crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
BURGLARY-RESIDENCE,103040973,10312010,149 26TH ST NW,207,Brookwood,E,33.80253,-84.39776
LARCENY-FROM VEHICLE,103041561,10312010,JUNIPER ST NE / 10TH ST NE,503,Midtown,E,33.78175,-84.3825
LARCENY-NON VEHICLE,103048029,10312010,CONCOURSE C @10700 SPINE RD,50,,,33.64063,-84.43256
LARCENY-NON VEHICLE,103031691,10302010,1295 ELIZABETH AVE SW,403,Venetian Hills,S,33.71952,-84.43581
LARCENY-FROM VEHICLE,103030631,10302010,829 HOLLYWOOD RD NW,110,Grove Park,J,33.77772,-84.45133
ROBBERY-PEDESTRIAN,103020311,10292010,1990 ALISON CT SW,410,Campbellton Road,R,33.70066,-84.45363
AUTO THEFT,103021256,10292010,I-75-85 NB EXPY SW / UNIVERSITY AVE SW,302,Pittsburgh,V,33.72212,-84.3946
LARCENY-FROM VEHICLE,103021756,10292010,2975 HEADLAND DR SW,411,Greenbriar,R,33.69168,-84.4872
LARCENY-FROM VEHICLE,103022665,10292010,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77907,-84.4105
AGG ASSAULT,103011443,10282010,730 BARNETT ST,601,Virginia Highland,F,33.77443,-84.35902
BURGLARY-RESIDENCE,103012236,10282010,1595 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72374,-84.43996
BURGLARY-NONRES,103010467,10282010,71 FAIRFIELD PLACE NW ,108,Dixie Hills,J,33.75461,-84.46292
LARCENY-NON VEHICLE,103001512,10272010,868 OAK ST SW,401,West End,T,33.74057,-84.41702
AGG ASSAULT,103002352,10272010,3040 GRAND AVE SW,311,Hammond Park,X,33.67413,-84.40636
AUTO THEFT,103000608,10272010,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69981,-84.4184
LARCENY-NON VEHICLE,103001179,10272010,950 W PEACHTREE ST NW,503,Midtown,E,33.7805,-84.38752
LARCENY-FROM VEHICLE,102990834,10262010,2198 VENETIAN DR SW,409,Adams Park,R,33.71533,-84.46035
AUTO THEFT,102991562,10262010,61 FAIRBURN RD SW,407,Adamsville,H,33.75613,-84.50579
AUTO THEFT,102992150,10262010,2838 BROWNTOWN RD NW,113,Bolton Hills,G,33.80275,-84.48165
BURGLARY-RESIDENCE,102982156,10252010,1367 ANIWAKA AVE SW,408,Venetian Hills,S,33.71812,-84.44134
AUTO THEFT,102980383,10252010,3350 MOUNT GILEAD RD SW,409,Southwest,R,33.6982,-84.49859
BURGLARY-RESIDENCE,102981087,10252010,3670 ADKINS RD NW,114,Carroll Heights,H,33.77248,-84.50922
LARCENY-FROM VEHICLE,102972058,10242010,931 MONROE DR NE,506,Midtown,E,33.77973,-84.3676
LARCENY-FROM VEHICLE,102971457,10242010,100 LUCKIE ST.,508,Downtown,M,33.75786,-84.39012
LARCENY-NON VEHICLE,102970471,10242010,610 SPRING ST,509,Downtown,M,33.77101,-84.38895
AUTO THEFT,102971051,10242010,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262
ROBBERY-PEDESTRIAN,102961388,10232010,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059
LARCENY-NON VEHICLE,102962115,10232010,1000 VIRGINIA AVE NE,601,Virginia Highland,F,33.78252,-84.35486
LARCENY-NON VEHICLE,102960943,10232010,2841 Greenbriar Parkway S.W,411,Greenbriar,R,33.68677,-84.49773
LARCENY-NON VEHICLE,102950097,10222010,832 PLAINVILLE DR SW,407,Wildwood (NPU-H),H,33.73922,-84.51772
AUTO THEFT,102951043,10222010,2050 TIGER FLOWERS DR NW,108,Dixie Hills,J,33.75989,-84.45434
BURGLARY-RESIDENCE,102951561,10222010,4004 MELVIN DR SW,412,,P,33.70786,-84.51897
LARCENY-FROM VEHICLE,102952382,10222010,2071 HOSEA L WILLIAMS DR SE,610,Kirkwood,O,33.75057,-84.31996
BURGLARY-RESIDENCE,102940961,10212010,2059 W CEDAR LN SW,409,Adams Park,R,33.71372,-84.45579
LARCENY-NON VEHICLE,102941485,10212010,500 BISHOP ST NW,207,Loring Heights,E,33.79204,-84.40415
ROBBERY-PEDESTRIAN,102942418,10212010,228 HUNNICUTT ST NW,504,Downtown,M,33.76655,-84.39518
AGG ASSAULT,102931772,10202010,4085 ALEX DR SW,407,Wilson Mill Meadows,H,33.75152,-84.52132
ROBBERY-PEDESTRIAN,102930315,10202010,FREEDOM PKWY NE / NORTH AVE NE,602,Poncey-Highland,N,33.77111,-84.35953
LARCENY-FROM VEHICLE,102931197,10202010,500 BISHOP ST NW,207,Loring Heights,E,33.79204,-84.40415
AGG ASSAULT,102920022,10192010,2107 FAULKNER RD NE,212,Lindridge/Martin Manor,F,33.81212,-84.35756
LARCENY-NON VEHICLE,102921258,10192010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-FROM VEHICLE,102922044,10192010,2051 DELANO DR,610,Kirkwood,O,33.75442,-84.32099
LARCENY-FROM VEHICLE,102912110,10182010,PENN AVE NE / PONCE DE LEON AVE NE,505,Midtown,E,33.77258,-84.37904
LARCENY-FROM VEHICLE,102912001,10182010,730 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77446,-84.36424
LARCENY-FROM VEHICLE,102910016,10182010,1132 TECHWOOD DR NW,501,Home Park,E,33.7855,-84.39273
LARCENY-FROM VEHICLE,102910839,10182010,1579 MONROE DR NE,213,Piedmont Heights,F,33.79819,-84.36974
BURGLARY-RESIDENCE,102900098,10172010,1185 COLLIER RD NW,204,,C,33.81136,-84.42537
LARCENY-NON VEHICLE,102900801,10172010,1765 PEACHTREE ST NE,207,Brookwood Hills,E,33.80326,-84.39294
LARCENY-FROM VEHICLE,102901877,10172010,337 DARGAN PL SW,104,West End,T,33.74584,-84.42447
LARCENY-FROM VEHICLE,102891919,10162010,JUNIPER ST NE / 8TH ST NE,503,Midtown,E,33.77952,-84.38263
LARCENY-FROM VEHICLE,102890667,10162010,1794 DEKALB AVE NE,608,Lake Claire,N,33.76063,-84.3287
BURGLARY-RESIDENCE,102881657,10152010,1006 CUSTER AVE SE,607,Custer/McDonough/Guice,W,33.7172,-84.35578
ROBBERY-COMMERCIAL,102872563,10152010,1250 W PACES FERRY RD NW,202,West Paces Ferry/Northside,A,33.84862,-84.42869
LARCENY-NON VEHICLE,102880956,10152010,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
AGG ASSAULT,102870187,10142010,80 JESSE HILL JR DR SE ,510,Downtown,M,33.75168,-84.38198
LARCENY-NON VEHICLE,102870892,10142010,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79789,-84.37101
LARCENY-NON VEHICLE,102871501,10142010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-FROM VEHICLE,102872243,10142010,646 DILL AVE SW,301,Capitol View,X,33.71808,-84.40874
LARCENY-NON VEHICLE,102861651,10132010,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328
BURGLARY-RESIDENCE,102862238,10132010,4424 PARK CENTER DR SW,412,Midwest Cascade,Q,33.72912,-84.52986
LARCENY-FROM VEHICLE,102860869,10132010,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81235,-84.36578
LARCENY-NON VEHICLE,102851198,10122010,1544 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79789,-84.37101
BURGLARY-RESIDENCE,102851952,10122010,2750 ALTAVIEW DR SE,312,Rosedale Heights,Z,33.67966,-84.3815
