crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,103040890,10312010,202 RICHARDSON ST SW ,303,Mechanicsville,V,33.74075,-84.39454
LARCENY-NON VEHICLE,103041455,10312010,FORSYTH ST NW / MARIETTA ST NW,511,Downtown,M,33.75543,-84.39104
BURGLARY-RESIDENCE,103042108,10312010,208 ADAIR AVE SE,307,Lakewood Heights,Y,33.7064,-84.38124
BURGLARY-RESIDENCE,103031563,10302010,1759 CAHOON ST SW,306,Sylvan Hills,X,33.70799,-84.41137
BURGLARY-RESIDENCE,103030473,10302010,978 PARSONS ST SW,104,Ashview Heights,T,33.75092,-84.4196
AUTO THEFT,103028075,10292010,2200 RENTAL CAR CENTER PKWY,707,,,33.63977,-84.46358
LARCENY-FROM VEHICLE,103021067,10292010,831 MARTIN ST SE,304,Summerhill,V,33.73196,-84.38458
LARCENY-FROM VEHICLE,103021591,10292010,440 ARGONNE DR NW,205,Wyngate,C,33.83519,-84.40173
LARCENY-FROM VEHICLE,103022426,10292010,102 BROAD ST SW,512,Downtown,M,33.75178,-84.39318
LARCENY-FROM VEHICLE,103011313,10282010,600 PONCE DE LEON AVE NE,506,Midtown,E,33.77376,-84.36722
LARCENY-NON VEHICLE,103012137,10282010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
BURGLARY-RESIDENCE,103010222,10282010,1320 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.7907,-84.42691
BURGLARY-RESIDENCE,103001412,10272010,3298 TIARA CIR SW,409,Southwest,R,33.7016,-84.49547
LARCENY-FROM VEHICLE,103002274,10272010,1132 TECHWOOD DR NW,501,Home Park,E,33.7855,-84.39273
ROBBERY-PEDESTRIAN,103000518,10272010,MCDONOUGH BLVD SE / PARK AVE SE,305,Chosewood Park,Y,33.71384,-84.37005
AGG ASSAULT,103001072,10272010,177 ALYSON CT SE;,312,Glenrose Heights,Z,33.67137,-84.38539
LARCENY-NON VEHICLE,102990735,10262010,2026 ARLINGTON CIR NW ,107,Grove Park,J,33.77072,-84.4533
LARCENY-NON VEHICLE,102991439,10262010,388 LUCKIE ST NW,504,Downtown,M,33.76516,-84.3964
LARCENY-FROM VEHICLE,102992047,10262010,180 JACKSON,604,Sweet Auburn,M,33.75769,-84.37433
LARCENY-NON VEHICLE,102982127,10252010,3393 PEACHTREE RD NE STE 1003,210,Lenox,B,33.84892,-84.36426
AUTO THEFT,102980037,10252010,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77682,-84.40822
BURGLARY-RESIDENCE,102980998,10252010,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67291,-84.39153
LARCENY-NON VEHICLE,102981571,10252010,80 JESSE HILL JR DR SE @GRADY;,510,Downtown,M,33.75168,-84.38198
LARCENY-NON VEHICLE,102971351,10242010,801 GRANT TER SE,304,Summerhill,V,33.73265,-84.38012
AGG ASSAULT,102971966,10242010,210 AUBURN AVE NE,510,Downtown,M,33.75563,-84.38092
LARCENY-FROM VEHICLE,102970884,10242010,770 PONCE DE LEON TER NE,601,Virginia Highland,F,33.77889,-84.36207
AUTO THEFT,102961317,10232010,61 FAIRBURN RD SW,407,Adamsville,H,33.75613,-84.50579
LARCENY-FROM VEHICLE,102962014,10232010,75 MARTIN L KING JR DR SE,512,Downtown,M,33.74869,-84.38645
LARCENY-NON VEHICLE,102960825,10232010,710 PEACHTREE ST NE,505,Midtown,E,33.77407,-84.38526
BURGLARY-RESIDENCE,102952731,10222010,1626 MAYFLOWER AVE SW,403,Cascade Avenue/Road,S,33.72837,-84.44123
LARCENY-NON VEHICLE,102950960,10222010,442 14TH,501,Home Park,E,33.78611,-84.40153
LARCENY-FROM VEHICLE,102951492,10222010,1040 WASHITA AVE NE,602,Inman Park,N,33.76426,-84.35331
LARCENY-FROM VEHICLE,102952250,10222010,1270 W PEACHTREE ST NW,502,Midtown,E,33.78937,-84.3882
LARCENY-FROM VEHICLE,102940799,10212010,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67339,-84.37144
