crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AGG ASSAULT,103041014,10312010,2019 REYNOLDS DR SW,307,Lakewood Heights,Y,33.69935,-84.40073
AUTO THEFT,103041588,10312010,259 RICHARDSON ST SW,303,Mechanicsville,V,33.74083,-84.39654
HOMICIDE,103041495080,10312010,499 FEDERAL TER SE,305,Chosewood Park,Y,33.71465,-84.37172
LARCENY-NON VEHICLE,103031773,10302010,1117 LEE,402,Oakland City,S,33.72459,-84.42107
BURGLARY-RESIDENCE,103030733,10302010,373 ADELLE ST SE,307,Lakewood Heights,Y,33.70043,-84.37645
BURGLARY-NONRES,103020517,10292010,2257 BOLLINGBROOK DR SW @BEECHER HILLS ELEM,406,Beecher Hills,I,33.73569,-84.4633
LARCENY-NON VEHICLE,103021272,10292010,1717 CENTRA VILLA DR SW,409,Adams Park,R,33.70854,-84.45679
LARCENY-FROM VEHICLE,103021812,10292010,2325 MELANTE DR NE,212,Lindridge/Martin Manor,F,33.81852,-84.35313
LARCENY-FROM VEHICLE,103022743,10292010,BISHOP ST NW / 17TH ST NW,207,Loring Heights,E,33.79177,-84.40609
BURGLARY-RESIDENCE,103011529,10282010,1955 DODSON DR SW,410,Campbellton Road,R,33.70146,-84.47616
LARCENY-NON VEHICLE,103012308,10282010,1800 MYRTLE DR SW,410,Campbellton Road,R,33.70608,-84.45486
LARCENY-NON VEHICLE,103010486,10282010,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
BURGLARY-RESIDENCE,103001532,10272010,1750 COMMERCE DR NW,204,Berkeley Park,D,33.80174,-84.41093
LARCENY-NON VEHICLE,103002391,10272010,2909 CAMPBELLTON RD SW,409,Southwest,R,33.69869,-84.48265
LARCENY-FROM VEHICLE,103000654,10272010,2138 FAULKNER RD NE,212,Lindridge/Martin Manor,F,33.81322,-84.36026
LARCENY-FROM VEHICLE,102962525,10262010,695 NORTH AVE NE,603,Old Fourth Ward,M,33.77073,-84.3645
LARCENY-FROM VEHICLE,102990927,10262010,794 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76743,-84.36176
LARCENY-NON VEHICLE,102991627,10262010,1856 PIEDMONT AVE NE,212,Piedmont Heights,F,33.80678,-84.36669
BURGLARY-RESIDENCE,102992232,10262010,1975 ALISON CT SW,410,Campbellton Road,R,33.70081,-84.45327
LARCENY-NON VEHICLE,102981797,10252010,120 HARWELL RD NW,111,,I,33.75457,-84.49304
AUTO THEFT,102980500,10252010,898 BEECHER ST SW,401,West End,T,33.7332,-84.41722
AUTO THEFT,102981117,10252010,520 FULTON ST SW,303,Mechanicsville,V,33.74092,-84.40419
LARCENY-FROM VEHICLE,102978019,10242010,6011 N. TERMINAL PKWY,50,,,33.64216,-84.44756
LARCENY-NON VEHICLE,102971499,10242010,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149
LARCENY-FROM VEHICLE,102970536,10242010,1629 ATHENS AVE SW,301,Capitol View,X,33.7102,-84.40924
LARCENY-FROM VEHICLE,102971082,10242010,1603 EZRA CHURCH DR NW,105,West Lake,J,33.75891,-84.43995
LARCENY-FROM VEHICLE,102961413,10232010,219 PEARL ST SE,606,Cabbagetown,N,33.74841,-84.36237
AGG ASSAULT,102962164,10232010,2080 BOLTON DR NW,204,Bolton,D,33.81446,-84.43922
LARCENY-FROM VEHICLE,102962394,10232010,126 NORTHSIDE DR NW ,102,Vine City,L,33.75806,-84.40277
LARCENY-FROM VEHICLE,102950278,10222010,PARSONS ST SW / LAWSHE ST SW,101,Atlanta University Center,T,33.75126,-84.41132
BURGLARY-NONRES,102951082,10222010,132 2ND ST NW,109,Carey Park,G,33.78573,-84.46787
LARCENY-NON VEHICLE,102951681,10222010,1599 MEMORIAL DR SE,610,Kirkwood,O,33.74741,-84.33599
ROBBERY-PEDESTRIAN,102940021,10212010,200 PEYTON PL SW,405,Harland Terrace,I,33.7499,-84.47534
LARCENY-FROM VEHICLE,102940981,10212010,1812 PEACHTREE ST NW,207,Ardmore,E,33.80426,-84.39375
BURGLARY-RESIDENCE,102941542,10212010,19 CARLTON DR NE,209,East Chastain Park,B,33.87201,-84.38681
LARCENY-FROM VEHICLE,102942441,10212010,263 WALKER ST.,507,Castleberry Hill,M,33.74745,-84.40311
BURGLARY-RESIDENCE,102931931,10202010,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079
ROBBERY-PEDESTRIAN,102930430,10202010,215 FORSYTH ST SW,512,Downtown,M,33.74892,-84.3968
LARCENY-FROM VEHICLE,102931284,10202010,243 SCIPLE TER NW,102,Vine City,L,33.76138,-84.41487
LARCENY-FROM VEHICLE,102920297,10192010,WATKINS STREET @ EDGEHILL AVE,501,Home Park,E,33.78238,-84.40913
LARCENY-NON VEHICLE,102921309,10192010,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742
LARCENY-FROM VEHICLE,102922171,10192010,375 18TH ST NW,501,Atlantic Station,E,33.79163,-84.40099
LARCENY-FROM VEHICLE,102912143,10182010,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595
AGG ASSAULT,102912013,10182010,1371 KIMBERLY WAY,412,Ashley Courts,P,33.71775,-84.52379
LARCENY-NON VEHICLE,102910045,10182010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
AUTO THEFT,102910856,10182010,356 MORELAND AVE SE,612,East Atlanta,W,33.74358,-84.34901
LARCENY-FROM VEHICLE,102900220,10172010,17TH 1/2 ST NW / MARKET ST NW,501,Atlantic Station,E,33.79182,-84.39501
LARCENY-NON VEHICLE,102900877,10172010,1870 MYRTLE  DR SW,410,Campbellton Road,R,33.70515,-84.45328
BURGLARY-RESIDENCE,102891210,10162010,625 JOSEPH E LOWERY BLVD NW,103,English Avenue,L,33.77187,-84.41726
AGG ASSAULT,102891958,10162010,1352 LAKEWOOD AVE SE,305,South Atlanta,Y,33.71742,-84.38166
AGG ASSAULT,102890723,10162010,WESTVIEW DR SW / LAWTON ST SW,104,West End,T,33.74704,-84.42329
AGG ASSAULT,102881717,10152010,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
LARCENY-FROM VEHICLE,102880045,10152010,230 10TH ST,210,Pine Hills,B,33.82902,-84.35551
BURGLARY-RESIDENCE,102881037,10152010,2268 BOULEVARD GRANADA SW,409,Adams Park,R,33.71863,-84.463
LARCENY-FROM VEHICLE,102870323,10142010,1925 MONROE DR NE,212,Piedmont Heights,F,33.80804,-84.37412
AUTO THEFT,102871024,10142010,3490 PIEDMONT RD,208,Buckhead Forest,B,33.84983,-84.37753
LARCENY-FROM VEHICLE,102871533,10142010,828 MCDONOUGH BLVD SE,607,Benteen Park,W,33.70926,-84.35977
BURGLARY-NONRES,102872309,10142010,2521 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82412,-84.36713
ROBBERY-PEDESTRIAN,102861723,10132010,MYRTLE ST NE / PONCE DE LEON AVE NE,505,Midtown,E,33.77258,-84.38026
LARCENY-FROM VEHICLE,102862290,10132010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
LARCENY-NON VEHICLE,102860948,10132010,1735 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70656,-84.40871
LARCENY-NON VEHICLE,102851249,10122010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-NON VEHICLE,102851984,10122010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-FROM VEHICLE,102850352,10122010,1745 DELOWE DR SW,409,Adams Park,R,33.70735,-84.45853
BURGLARY-RESIDENCE,102850921,10122010,3518 FORREST PARK RD SE,313,South River Gardens,Z,33.65768,-84.35521
LARCENY-NON VEHICLE,102840295,10112010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698
LARCENY-FROM VEHICLE,102840888,10112010,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81806,-84.35082
LARCENY-NON VEHICLE,102841434,10112010,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149
BURGLARY-RESIDENCE,102842130,10112010,203 HIPP ST SW,307,Joyland,Y,33.70987,-84.39564
LARCENY-NON VEHICLE,102831135,10102010,2598 BUTNER RD SW,413,Butner/Tell,P,33.68417,-84.5321
LARCENY-NON VEHICLE,102830982,10102010,3013 COLLIER DR NW,112,Collier Heights,I,33.76346,-84.48549
ROBBERY-PEDESTRIAN,102820160,10092010,765 FORMWALT ST SW,303,Mechanicsville,V,33.73397,-84.3961
LARCENY-FROM VEHICLE,102821016,10092010,700 MCGRUDER ST NE,604,Old Fourth Ward,M,33.7586,-84.36513
LARCENY-NON VEHICLE,102821990,10092010,231 18TH ST NW,501,Atlantic Station,E,33.79275,-84.39544
LARCENY-NON VEHICLE,102811573,10082010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
LARCENY-NON VEHICLE,102810919,10082010,3715 ADAMSVILLE DR SW,407,Adamsville,H,33.76207,-84.50918
LARCENY-NON VEHICLE,102800320,10072010,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
BURGLARY-RESIDENCE,102801043,10072010,1750 WESTWOOD AVE SW,404,Westview,T,33.73835,-84.44503
ROBBERY-PEDESTRIAN,102801732,10072010,MONROE DR @PONCE DELEON AVE,506,Midtown,M,33.77367,-84.37088
