crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AGG ASSAULT,103040893,10312010,450 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70604,-84.35916
LARCENY-FROM VEHICLE,103040928,10312010,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82543,-84.36706
LARCENY-NON VEHICLE,103041457,10312010,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212
BURGLARY-RESIDENCE,103041472,10312010,2412 WOODWARD WAY NW,205,Peachtree Battle Alliance,C,33.8193,-84.39688
BURGLARY-RESIDENCE,103042121,10312010,1371 KIMBERLY WAY SW,412,Ashley Courts,P,33.71771,-84.52315
LARCENY-NON VEHICLE,103042132,10312010,590 CASADE,402,West End,T,33.73812,-84.43276
LARCENY-NON VEHICLE,103031573,10302010,412 MORELAND AVE NE,602,Inman Park,N,33.76582,-84.34917
LARCENY-NON VEHICLE,103031590,10302010,1073 PIEDMONT AVE NE @PIEDMONT PARK,502,Midtown,E,33.78384,-84.37897
BURGLARY-RESIDENCE,103030486,10302010,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299
BURGLARY-RESIDENCE,103030490,10302010,1040 HUFF RD,203,Blandtown,D,33.78949,-84.42125
BURGLARY-RESIDENCE,103012699,10292010,711 WILSON RD NW,205,Springlake,C,33.81553,-84.41234
LARCENY-NON VEHICLE,103010888,10292010,3099 PANTER TRL,409,Southwest,R,33.69931,-84.48914
LARCENY-FROM VEHICLE,103021142,10292010,265 PONCE DE LEON AVE NE ;CAMDEN MIDTOWN,505,Midtown,E,33.77248,-84.37879
BURGLARY-RESIDENCE,103021157,10292010,3443 VILLAGE PARK LN SW,414,Ben Hill,P,33.66161,-84.52564
LARCENY-NON VEHICLE,103021612,10292010,141 PRYOR ST SW,512,Downtown,M,33.75093,-84.39146
BURGLARY-RESIDENCE,103021623,10292010,2617 IVYDALE DR SW,410,Campbellton Road,R,33.69987,-84.47412
AGG ASSAULT,103022445,10292010,1009 WASHINGTON ST SW,304,Peoplestown,V,33.72723,-84.39109
AGG ASSAULT,103022457,10292010,585 MCWILLIAMS RD SE,310,Browns Mill Park,Z,33.68869,-84.36881
AUTO THEFT,103011321,10282010,106 VANNOY ST SE,609,Edgewood,O,33.75073,-84.34623
LARCENY-FROM VEHICLE,103011333,10282010,2540 FORREST HILL DR,311,Hammond Park,X,33.681,-84.40011
BURGLARY-RESIDENCE,103012146,10282010,903 NOBLE CREEK DR NW,204,Cross Creek,C,33.81437,-84.42392
BURGLARY-RESIDENCE,103012162,10282010,1380 SHARON ST NW,105,Hunter Hills,K,33.75448,-84.43255
AGG ASSAULT,103010258,10282010,353 TAZOR ST NW,106,Bankhead,K,33.76431,-84.42075
LARCENY-FROM VEHICLE,103010260,10282010,17 GROVE PARK PL NW,110,Grove Park,J,33.77696,-84.43816
AGG ASSAULT,103001413,10272010,1572 HARDEE ST NE,609,Edgewood,O,33.75651,-84.33419
BURGLARY-RESIDENCE,103001420,10272010,3099 PANTHER TRL SW,409,Southwest,R,33.69931,-84.48914
AUTO THEFT,103002293,10272010,339 MARIETTA ST NW,508,Downtown,M,33.76464,-84.39614
AUTO THEFT,103002301,10272010,192 DEGRESS AVE NE,602,Inman Park,N,33.75939,-84.35245
AUTO THEFT,103000535,10272010,1880 MARKONE STREET NW ,107,Grove Park,J,33.76962,-84.44847
AUTO THEFT,103000548,10272010,3460 KINGSBORO ROAD,210,Buckhead Heights,B,33.85019,-84.35765
LARCENY-NON VEHICLE,103001073,10272010,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201
BURGLARY-RESIDENCE,103001085,10272010,645 BOLTON RD NW,114,Fairburn Heights,H,33.77142,-84.50774
LARCENY-FROM VEHICLE,102990741,10262010,3833 PRINCETON LAKES CT.,414,Princeton Lakes,P,33.65648,-84.51231
LARCENY-FROM VEHICLE,102990755,10262010,524 PEEPLES ST SW,401,West End,T,33.74059,-84.4202
LARCENY-NON VEHICLE,102991445,10262010,1014 WASHINGTON HEIGHTS TER NW,105,Washington Park,K,33.76056,-84.42097
AUTO THEFT,102991483,10262010,MEMORIAL DR SE / WARREN ST SE,610,,,33.74741,-84.32628
LARCENY-FROM VEHICLE,102992080,10262010,12TH ST NE / PIEDMONT AVE NE,502,Midtown,E,33.78331,-84.37958
AUTO THEFT,102992095,10262010,1696 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70781,-84.37988
BURGLARY-RESIDENCE,102981611,10252010,545 ENGLISH AVE NW,103,English Avenue,L,33.76958,-84.41324
LARCENY-NON VEHICLE,102981641,10252010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
LARCENY-FROM VEHICLE,102980046,10252010,1335 MARIETTA BLVD NW,203,Blandtown,D,33.79209,-84.43017
LARCENY-FROM VEHICLE,102980123,10252010,SPRING ST NW / 3RD ST NW,505,Midtown,E,33.77393,-84.38883
BURGLARY-RESIDENCE,102981013,10252010,1240 OAKLAND DR SW,403,Oakland City,S,33.72138,-84.42733
LARCENY-NON VEHICLE,102981026,10252010,3780 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65765,-84.5095
BURGLARY-RESIDENCE,102981596,10252010,184 MURRAY HILL AVE NE,610,Kirkwood,O,33.75772,-84.31619
LARCENY-FROM VEHICLE,102981597,10252010,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043
LARCENY-NON VEHICLE,102971359,10242010,2516 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75242,-84.47042
LARCENY-FROM VEHICLE,102971381,10242010,222 PETERS ST SW,507,Castleberry Hill,M,33.74824,-84.40041
LARCENY-FROM VEHICLE,102971986,10242010,929 CHARLES ALLEN DR NE @GRADY HIGH,506,Midtown,E,33.78119,-84.37151
