crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-FROM VEHICLE,103041024,10312010,TRENHOLM ST SW / PETERS ST SW,507,Castleberry Hill,M,33.7456,-84.40378
BURGLARY-RESIDENCE,103041599,10312010,3324 LYNFIELD LANE,406,Green Forest Acres,I,33.73257,-84.49651
HOMICIDE,103032454079,10312010,1045 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.7733,-84.42174
ROBBERY-PEDESTRIAN,103031790,10302010,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68011,-84.40674
BURGLARY-RESIDENCE,103030737,10302010,2426 WOODWARD WAY,205,Peachtree Battle Alliance,C,33.82048,-84.39664
AUTO THEFT,103020531,10292010,2637 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68294,-84.39417
LARCENY-NON VEHICLE,103021275,10292010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
LARCENY-NON VEHICLE,103021832,10292010,12 BROAD ST SW ;CVS,511,Downtown,M,33.7532,-84.39201
AGG ASSAULT,102970294,10292010,255 TRINITY AVE,512,Downtown,M,33.75082,-84.39623
LARCENY-NON VEHICLE,103011534,10282010,600 GREENSFERRY ,101,The Villages at Castleberry H,T,33.74662,-84.40755
ROBBERY-PEDESTRIAN,103012323,10282010,580 FAIR ST.,101,Atlanta University Center,T,33.74887,-84.40674
LARCENY-FROM VEHICLE,103010544,10282010,903 CARDOVA DR NE,212,Lindridge/Martin Manor,F,33.81639,-84.35819
LARCENY-NON VEHICLE,103001541,10272010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
LARCENY-FROM VEHICLE,103002393,10272010,788 MARIETTA ST NW,504,Marietta Street Artery,E,33.77347,-84.40449
AUTO THEFT,103000657,10272010,510 MUSE ST SW,401,Westview,T,33.74121,-84.43339
LARCENY-FROM VEHICLE,102990002,10262010,437 MEMORIAL DR SE,605,Grant Park,W,33.74639,-84.37285
AUTO THEFT,102990957,10262010,2455 ABNER PL NW,110,Carver Hills,G,33.80007,-84.46711
LARCENY-FROM VEHICLE,102991629,10262010,1820 MARY DELL DR SE ; SOUTH METRO SCHOOL,612,East Atlanta,W,33.72385,-84.32906
LARCENY-FROM VEHICLE,102992304,10262010,3280 PEACHTREE ROAD,208,North Buckhead,B,33.84443,-84.3711
LARCENY-FROM VEHICLE,102981819,10252010,MONROE DR NE / KANUGA ST NE,601,Virginia Highland,F,33.78231,-84.36851
BURGLARY-RESIDENCE,102980509,10252010,1785 RIDGEWAY AVE,204,Underwood Hills,D,33.80369,-84.41622
LARCENY-NON VEHICLE,102981120,10252010,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595
ROBBERY-PEDESTRIAN,102962360,10242010,1575 MARTIN LUTHER KING DRIVE,104,Mozley Park,K,33.7528,-84.43922
LARCENY-NON VEHICLE,102971504,10242010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
RAPE,102970541,10242010,63 TURMAN AVE SE,305,South Atlanta,Y,33.70878,-84.3836
LARCENY-NON VEHICLE,102971109,10242010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
LARCENY-FROM VEHICLE,102961425,10232010,95 PRYOR ST SW ; DECK B,511,Downtown,M,33.75215,-84.39051
BURGLARY-RESIDENCE,102952514,10232010,1867 MYRTLE DR SW,410,Campbellton Road,R,33.70394,-84.4551
AUTO THEFT,102962478,10232010,1219 MECASLIN ST NW,501,Home Park,E,33.78807,-84.39969
AUTO THEFT,102950292,10222010,PEACHTREE ST NE / 12TH ST NE,503,Midtown,E,33.78431,-84.38307
LARCENY-FROM VEHICLE,102951094,10222010,985 MONROE DR NE,506,Midtown,E,33.78135,-84.36828
BURGLARY-RESIDENCE,102951690,10222010,3020 WATERS RD SW,312,Glenrose Heights,Z,33.67205,-84.39584
AUTO THEFT,102940091,10212010,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507
AGG ASSAULT,102941003,10212010,3500 PEACHTREE RD NE @PHIPPS PLAZA,208,North Buckhead,B,33.85252,-84.36116
LARCENY-NON VEHICLE,102941578,10212010,2626 BROOKWOOD DR NE,206,Peachtree Heights East,B,33.82617,-84.38123
LARCENY-FROM VEHICLE,102942449,10212010,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859
BURGLARY-RESIDENCE,102931992,10202010,1398 BEECHER ST SW,402,Oakland City,S,33.73309,-84.43342
AGG ASSAULT,102930457,10202010,767 CLEVELAND AVE SW,309,Perkerson,X,33.68134,-84.41411
AUTO THEFT,102931285,10202010,1230 VIRGINIA AVE NE,601,Virginia Highland,F,33.77949,-84.34675
BURGLARY-NONRES,102920311,10192010,2310 MARTIN L KING JR DR SW,405,Florida Heights,I,33.75121,-84.46544
LARCENY-FROM VEHICLE,102921326,10192010,2657 LENOX ROAD,210,Pine Hills,B,33.82556,-84.35277
BURGLARY-RESIDENCE,102922194,10192010,112 TURMAN AVE SE,305,Lakewood Heights,Y,33.7085,-84.3846
LARCENY-FROM VEHICLE,102912146,10182010,950 W PEACHTREE ST NW,503,Midtown,E,33.7805,-84.38752
LARCENY-FROM VEHICLE,102912028,10182010,1745 PEACHTREE ST NE,207,Brookwood Hills,E,33.8018,-84.39187
LARCENY-FROM VEHICLE,102910169,10182010,ELLIS ST NE / PEACHTREE CENTER AVE NE,510,Downtown,M,33.75841,-84.38608
LARCENY-NON VEHICLE,102910866,10182010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
BURGLARY-RESIDENCE,102900227,10172010,101 HILLSIDE VILLAGE DR SE,611,The Villages at East Lake,O,33.74044,-84.31454
LARCENY-FROM VEHICLE,102900902,10172010,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.81948,-84.36425
AGG ASSAULT,102891268,10162010,1724 S GORDON ST SW,404,Westview,T,33.73949,-84.44435
AUTO THEFT,102891986,10162010,1881 MYRTLE DR SW,410,Campbellton Road,R,33.70378,-84.4551
AUTO THEFT,102890724,10162010,1961 PINEDALE DR NW,107,Grove Park,J,33.76601,-84.4511
AGG ASSAULT,102881754,10152010,1000 LOMA LINDA ST SW,402,Bush Mountain,S,33.72772,-84.43241
BURGLARY-RESIDENCE,102880054,10152010,1687 S GORDON ST,404,Westview,T,33.73995,-84.44303
ROBBERY-COMMERCIAL,102881049,10152010,225 SAMPSON ST NE,604,Old Fourth Ward,M,33.7602,-84.36545
AUTO THEFT,102870327,10142010,1138 WOODLAND AVE NE,213,Lindridge/Martin Manor,F,33.81486,-84.35042
BURGLARY-RESIDENCE,102871029,10142010,2324 NELMS DR SW;,310,Polar Rock,Z,33.6908,-84.40037
BURGLARY-RESIDENCE,102871539,10142010,1093 HARWELL ST NW,105,Washington Park,K,33.75594,-84.42366
LARCENY-FROM VEHICLE,102872395,10142010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
