crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,103040966,10312010,165 MARION PL NE,609,Edgewood,O,33.75795,-84.34501
LARCENY-FROM VEHICLE,103041546,10312010,7TH ST NE / JUNIPER ST NE,505,Midtown,E,33.77843,-84.38274
LARCENY-FROM VEHICLE,103042152,10312010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80448,-84.41348
BURGLARY-RESIDENCE,103031646,10302010,2403 SUNRIDGE AVE SE,310,Browns Mill Park,Z,33.68863,-84.38307
LARCENY-FROM VEHICLE,103030594,10302010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
AGG ASSAULT,103020069,10292010,JOSEPH E LOWERY BLVD NW / DONALD LEE HOLLOWELL PKWY NW,103,Bankhead,K,33.77303,-84.41737
AUTO THEFT,103021204,10292010,364 NORTHSIDE DR NW,103,English Avenue,L,33.7647,-84.40392
LARCENY-FROM VEHICLE,103021677,10292010,497 LYNN VALLEY RD SW,406,,I,33.73719,-84.48202
ROBBERY-PEDESTRIAN,103022521,10292010,1941 MYRTLE DR,410,Campbellton Road,R,33.70101,-84.45527
LARCENY-FROM VEHICLE,103011380,10282010,OLD WESLEY PL @ WEST WESLEY ,201,Brandon,C,33.82875,-84.42267
ROBBERY-PEDESTRIAN,103012199,10282010,1185 COLLIER RD NW,204,,C,33.81136,-84.42537
BURGLARY-NONRES,103010409,10282010,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859
BURGLARY-RESIDENCE,103001469,10272010,1092 OSBORNE ST SW,306,Sylvan Hills,X,33.70415,-84.42436
BURGLARY-RESIDENCE,103002334,10272010,2190 JERNIGAN DR SE,310,Lakewood,Z,33.69436,-84.37217
LARCENY-NON VEHICLE,103000568,10272010,3540 N CAMP CREEK PKWY SW,414,,P,33.6681,-84.50267
LARCENY-FROM VEHICLE,103001125,10272010,1305 OAKLAND DR SW @OAKLAND CITY PARK,403,Oakland City,S,33.71896,-84.42892
AUTO THEFT,102990795,10262010,1631 STANTON RD SW,408,,R,33.71076,-84.4438
AUTO THEFT,102991557,10262010,1257 MARIETTA BLVD NW,203,Blandtown,D,33.78917,-84.42803
LARCENY-NON VEHICLE,102992128,10262010,1440 JONESBORO RD SE,305,South Atlanta,Y,33.71537,-84.38312
BURGLARY-RESIDENCE,102981692,10252010,1991 DELOWE DR SW,410,Campbellton Road,R,33.70103,-84.45746
LARCENY-NON VEHICLE,102980235,10252010,195 OTTLEY DR NE,212,,E,33.80807,-84.38112
