crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AGG ASSAULT,103040443,10312010,1083 EUCLID AVE NE,602,Inman Park,N,33.76309,-84.3516
LARCENY-FROM VEHICLE,103041315,10312010,1011 MONROE DR NE,601,Virginia Highland,F,33.78243,-84.36835
BURGLARY-RESIDENCE,103041864,10312010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73396,-84.40177
LARCENY-FROM VEHICLE,103031367,10302010,1401 EPWORTH ST SW,403,Venetian Hills,S,33.71691,-84.43098
BURGLARY-RESIDENCE,103030223,10302010,356 PINE TREE DR NE,206,Garden Hills,B,33.83028,-84.37595
LARCENY-FROM VEHICLE,103022782,10302010,1338  PEACHTREE  ST,502,Midtown,E,33.79112,-84.38534
BURGLARY-RESIDENCE,103020985,10292010,2007 MOREHOUSE DR NW,108,Dixie Hills,J,33.7613,-84.45299
LARCENY-NON VEHICLE,103021526,10292010,2155 MEADOR AVE SE,310,Swallow Circle/Baywood,Z,33.69536,-84.38075
AUTO THEFT,103022249,10292010,2931 MIDDLETON RD NW,111,,I,33.75294,-84.48775
LARCENY-FROM VEHICLE,103011169,10282010,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043
LARCENY-FROM VEHICLE,103012061,10282010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.7778,-84.40865
ROBBERY-PEDESTRIAN,103012728,10282010,2700 GRAND AVE,311,Hammond Park,X,33.68085,-84.40042
BURGLARY-NONRES,103001280,10272010,2866 FORREST HILLS DR SW,311,Hammond Park,X,33.67725,-84.39889
LARCENY-FROM VEHICLE,103002146,10272010,2165 CHESHIRE BRIDGE RD NE,213,Lindridge/Martin Manor,F,33.81341,-84.35347
ROBBERY-PEDESTRIAN,103000449,10272010,3781 MARTIN L KING JR DR SW,114,Old Gordon,H,33.76797,-84.51322
BURGLARY-NONRES,103000968,10272010,1099 HENDON RD SE,313,South River Gardens,Z,33.65576,-84.35362
LARCENY-FROM VEHICLE,102990643,10262010,388 VALLEY BROOK DR,209,North Buckhead,B,33.87733,-84.37466
LARCENY-NON VEHICLE,102991368,10262010,421 MORELAND AVE NE,608,Candler Park,N,33.76598,-84.34896
LARCENY-NON VEHICLE,102991936,10262010,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.7734,-84.35467
AGG ASSAULT,102982140,10262010,2479 PEACHTREE RD NE,207,,E,33.81,-84.39583
ROBBERY-RESIDENCE,102982040,10252010,2065 DEFOORS FERRY RD NW,204,,C,33.81262,-84.42536
LARCENY-FROM VEHICLE,102980868,10252010,480 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75942,-84.37151
AUTO THEFT,102981416,10252010,844 FULTON TER SE,606,Reynoldstown,N,33.74906,-84.35972
LARCENY-FROM VEHICLE,102971265,10242010,15 JAMES P BRAWLEY DR SW,101,Atlanta University Center,T,33.75421,-84.41288
LARCENY-FROM VEHICLE,102971879,10242010,133 LUCKIE ST NW,508,Downtown,M,33.75864,-84.39062
LARCENY-FROM VEHICLE,102970844,10242010,3260 VERDANT DR SW,411,Greenbriar,R,33.68348,-84.49585
AUTO THEFT,102961254,10232010,55 PHARR RD NW,206,Peachtree Heights West,B,33.83717,-84.38334
LARCENY-FROM VEHICLE,102961824,10232010,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017
BURGLARY-RESIDENCE,102960733,10232010,1410 ANIWAKA AVE SW,408,Venetian Hills,S,33.71692,-84.44079
LARCENY-FROM VEHICLE,102952651,10222010,2391 PEACHTREE RD NE,211,Peachtree Hills,B,33.8206,-84.3881
LARCENY-NON VEHICLE,102950851,10222010,461 PAGE AVE NE,608,Candler Park,N,33.76679,-84.33391
LARCENY-FROM VEHICLE,102951392,10222010,469 WALDO ST SE,605,Grant Park,W,33.74168,-84.36691
LARCENY-FROM VEHICLE,102952085,10222010,JOHN WESLEY DOBBS AVE NE / PEACHTREE CENTER AVE NE,510,Downtown,M,33.75714,-84.3861
AUTO THEFT,102940610,10212010,85 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67269,-84.38678
LARCENY-NON VEHICLE,102941310,10212010,501 PULLIAM ST SW,303,Mechanicsville,V,33.74038,-84.39273
LARCENY-FROM VEHICLE,102942010,10212010,248 TRINITY AVE SW,512,Downtown,M,33.75048,-84.39599
LARCENY-FROM VEHICLE,102931495,10202010,966 WASHINGTON PL SW,104,Ashview Heights,T,33.75339,-84.4192
LARCENY-FROM VEHICLE,102932352,10202010,3850 ROSWELL RD NE,209,East Chastain Park,B,33.85988,-84.38156
BURGLARY-NONRES,102930917,10202010,2000 MONROE PL NE,212,Piedmont Heights,F,33.8103,-84.37025
BURGLARY-RESIDENCE,102932467,10202010,4381 HARRIS VALLEY RD NW,202,Mt. Paran/Northside,A,33.8759,-84.43056
LARCENY-FROM VEHICLE,102920900,10192010,2298 PEACHTREE RD NW,205,,C,33.8168,-84.38997
LARCENY-FROM VEHICLE,102921655,10192010,821 RALPH MCGILL BLVD NE,602,Poncey-Highland,N,33.76792,-84.35911
BURGLARY-RESIDENCE,102912269,10192010,937 DIVISION ST NW,106,Bankhead,K,33.76446,-84.41823
BURGLARY-RESIDENCE,102911698,10182010,132 LINKWOOD RD NW,111,,I,33.75884,-84.48344
LARCENY-NON VEHICLE,102911281,10182010,638 AMAL DR SW,307,Amal Heights,Y,33.70915,-84.39678
LARCENY-FROM VEHICLE,102910689,10182010,303 PARKWAY DR NE @ATLANTA MEDICAL CEN,604,Old Fourth Ward,M,33.76272,-84.37406
LARCENY-FROM VEHICLE,102901651,10172010,PIEDMONT/7TH ST.,505,Midtown,E,33.7788,-84.38438
LARCENY-FROM VEHICLE,102900606,10172010,226 COURTLAND ST NE,509,Downtown,M,33.76051,-84.38429
AGG ASSAULT,102901378,10172010,1148 MCDANIEL ST SW,302,Pittsburgh,V,33.72363,-84.40147
LARCENY-FROM VEHICLE,102891668,10162010,265 PONCE DE LEON AVE NE,505,Midtown,E,33.77248,-84.37857
BURGLARY-RESIDENCE,102890428,10162010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
LARCENY-NON VEHICLE,102891085,10162010,1303 NASH RD NW,114,English Park,G,33.7906,-84.49176
LARCENY-NON VEHICLE,102882209,10152010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-FROM VEHICLE,102880667,10152010,108 SPRING ST NW,508,Downtown,M,33.75805,-84.39153
AGG ASSAULT,102881508,10152010,984 SIMS ST SW,302,Pittsburgh,V,33.72798,-84.40295
LARCENY-FROM VEHICLE,102870661,10142010,1127 HANK AARON DR SW,304,Peoplestown,V,33.72368,-84.38848
LARCENY-FROM VEHICLE,102871350,10142010,1118 NORWICH CIR NE,210,Pine Hills,B,33.83364,-84.35117
ROBBERY-PEDESTRIAN,102871929,10142010,1285 SYLVAN RD SW,301,Capitol View,X,33.72025,-84.41856
LARCENY-NON VEHICLE,102861465,10132010,650 PONCE DE LEON AVE NE,506,Midtown,E,33.77469,-84.36561
LARCENY-FROM VEHICLE,102862134,10132010,1544 PIEDMONT AVE NE @ANSLEY MALL,213,Piedmont Heights,F,33.79789,-84.37101
LARCENY-FROM VEHICLE,102860543,10132010,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161
AGG ASSAULT,102852330,10132010,ARNO DR NW / HOLLYWOOD RD NW,113,Scotts Crossing,G,33.79919,-84.47004
LARCENY-NON VEHICLE,102851687,10122010,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532
LARCENY-FROM VEHICLE,102850003,10122010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
BURGLARY-RESIDENCE,102850720,10122010,188 14TH ST NE,502,Midtown,E,33.78663,-84.38139
